_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
5044,4,3,5,3,20,4,0,3,3,14,6,3,10,3,25,3,0,8,0,11,24,3,14,0,46,14,7,29,0,52,110,13,25,3,154,97,23,41,5,169,149,45,55,9,254,79,53,28,9,179,66,51,35,3,155,79,65,20,4,166,167,143,48,7,363,104,192,12,4,307,54,139,10,0,206,34,82,3,0,123,96,237,8,0,337,79,132,34,3,245,16,9,3,3,29,1202,1188,381,58,2830
5045,12,4,9,0,32,8,0,0,0,14,9,7,8,5,30,0,0,22,0,23,61,5,30,3,100,34,5,50,9,91,153,20,36,12,222,141,20,59,9,229,167,47,48,18,280,161,60,57,12,280,101,62,29,3,198,126,84,27,9,252,241,204,38,16,507,173,180,11,3,358,144,146,7,0,300,73,112,8,0,188,174,252,19,0,445,139,192,52,0,389,14,13,7,0,36,1935,1411,531,102,3982
5046,15,4,11,0,25,9,3,4,3,14,9,0,10,0,24,3,0,4,0,11,48,11,22,9,93,26,13,35,4,77,118,26,34,6,184,92,32,42,11,177,99,57,39,7,206,114,69,45,11,238,42,73,33,5,156,58,78,21,4,164,117,139,38,3,292,60,116,15,5,191,25,80,4,0,116,25,47,9,0,80,22,48,0,0,67,71,94,34,0,194,10,6,3,0,19,964,882,408,66,2326
5047,12,5,17,0,31,8,4,5,0,18,8,3,13,0,20,4,3,17,0,20,43,5,18,0,63,20,8,42,0,73,133,20,61,4,215,89,35,43,8,179,83,56,50,9,201,84,69,32,7,195,54,79,24,4,159,50,68,19,6,153,91,147,26,5,268,67,95,9,0,177,27,55,7,3,89,19,30,0,0,46,21,54,3,0,77,43,73,29,0,148,13,9,13,0,32,862,831,425,54,2173
5048,18,3,4,3,28,14,6,3,0,23,9,10,15,0,25,3,3,12,0,16,54,5,21,3,94,30,13,43,5,90,197,27,41,8,272,146,32,56,8,246,187,59,72,11,325,131,71,63,0,270,110,84,50,5,239,76,90,41,3,210,176,209,39,4,434,119,208,21,0,344,68,154,8,3,226,39,88,3,0,130,86,234,19,0,338,103,208,72,0,386,20,3,6,0,32,1596,1491,582,61,3729
5049,10,7,3,0,18,14,0,0,3,15,8,3,6,5,15,8,0,10,0,19,45,3,21,5,80,20,8,24,3,61,121,14,38,3,180,102,35,35,4,176,122,49,56,13,232,129,52,43,6,228,69,73,28,3,168,74,84,22,0,176,145,194,27,3,370,115,174,14,5,297,59,128,4,0,191,28,71,5,0,104,72,143,0,0,218,85,160,41,0,289,11,13,3,0,22,1232,1196,385,50,2868
5050,10,0,3,0,11,3,0,3,0,8,0,0,3,4,9,0,3,3,0,9,28,4,6,0,37,13,3,6,0,27,78,8,17,0,97,73,9,14,3,102,82,23,21,3,129,63,47,21,3,133,27,34,12,0,83,48,47,18,0,109,70,101,17,0,187,63,91,10,0,159,31,56,3,0,92,19,51,0,0,76,33,98,0,0,127,41,91,24,0,161,14,5,3,0,22,691,678,187,16,1569
5051,7,4,7,0,15,9,0,3,4,12,3,3,10,4,23,3,3,3,0,12,34,7,12,3,54,30,4,39,3,81,120,22,30,4,172,121,28,46,5,192,192,49,52,10,295,180,73,47,0,297,94,101,32,0,226,117,135,42,3,294,184,313,50,3,551,134,321,15,0,461,77,238,3,0,319,54,138,11,0,200,80,335,7,0,425,111,230,56,3,405,15,9,3,0,31,1552,2013,456,38,4060
5052,7,0,0,0,11,3,0,0,0,0,0,0,6,0,5,0,0,0,0,0,23,0,3,0,25,6,0,17,0,20,78,8,17,0,99,46,11,14,0,82,77,29,15,7,121,90,31,14,0,132,60,44,12,0,122,41,49,14,0,109,84,141,17,3,245,73,110,6,0,191,48,85,3,0,134,19,77,8,0,108,51,176,3,0,228,54,118,31,0,203,5,3,0,0,11,763,882,179,17,1845
5061,7,9,13,0,26,6,0,0,0,9,7,0,4,3,18,4,0,10,0,9,35,3,11,0,46,3,4,16,0,28,75,10,25,3,114,48,25,27,3,94,60,24,45,5,133,78,33,25,5,148,48,30,27,3,107,61,38,13,6,119,114,101,28,4,247,94,76,16,5,189,68,77,5,0,149,63,99,15,0,175,199,440,17,0,662,78,172,34,4,288,12,12,0,0,26,1054,1153,328,56,2597
