_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5113,20,24,78,94,122,179,251,190,93,1052,9,8,26,53,49,29,26,26,20,251,114,144,277,212,251,234,202,216,73,1723,626,1439,2826,2034,2253,1996,1416,1032,367,13987
5114,7,22,92,77,83,182,270,131,70,943,0,9,42,55,36,36,28,21,11,228,103,167,338,251,264,219,198,153,93,1789,1051,2665,5446,4206,4446,3345,1886,866,358,24275
5115,3,12,33,24,22,50,87,47,8,293,0,3,7,7,6,13,3,10,3,61,31,57,140,98,69,75,50,13,9,535,332,983,2219,1240,1028,788,432,166,35,7226
5116,4,6,3,12,11,45,121,121,73,391,0,0,3,0,3,0,3,9,4,22,29,23,69,56,61,67,73,83,57,520,264,606,1239,1055,1127,1081,897,656,238,7163
5117,3,5,0,4,8,13,29,19,8,82,0,0,0,0,0,0,3,0,3,5,6,9,19,19,13,11,13,12,7,114,93,173,284,450,492,270,206,94,24,2091
5118,4,0,10,25,40,86,224,227,136,754,0,4,4,4,0,5,8,10,3,33,60,53,106,125,205,214,167,137,82,1147,521,1151,1939,2187,2829,2494,1747,1045,460,14365
5120,0,4,10,14,32,35,48,37,8,183,0,3,4,7,11,19,12,15,4,73,6,6,17,29,28,28,9,11,3,141,45,124,235,285,273,288,166,86,16,1519
5121,0,0,3,3,3,27,47,27,3,123,0,0,0,0,3,12,7,6,0,28,4,9,4,7,11,16,20,22,6,91,32,144,199,153,204,241,208,153,26,1351
5125,0,3,11,13,19,35,113,84,32,308,0,0,0,3,4,6,5,3,0,28,30,41,69,91,119,105,114,107,84,776,576,1195,1992,2586,3181,2459,1638,818,218,14659
5126,3,0,6,6,8,23,50,35,20,142,0,0,0,0,3,3,0,0,0,11,12,10,25,52,32,36,45,32,4,256,177,437,929,1013,952,923,768,302,68,5555
5127,0,0,0,9,8,34,68,39,27,182,0,0,0,0,0,3,0,0,3,12,18,18,20,28,53,40,44,25,11,251,241,510,867,913,1258,1227,757,277,96,6140
5131,0,0,0,0,0,4,5,10,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,15,15,5,0,44,33,66,57,108,183,178,125,48,4,793
5132,0,0,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5,7,3,0,27,16,18,24,57,71,55,75,15,3,329
5133,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,9,3,3,31,12,27,23,43,68,61,57,15,6,306
5134,0,0,0,0,0,0,4,3,3,8,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,7,8,0,0,28,15,14,19,58,67,73,51,28,5,336
5136,0,0,0,0,0,0,8,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,8,3,8,6,6,0,0,34,17,23,50,59,109,70,55,15,4,396
5137,0,0,3,0,0,3,5,5,0,19,0,0,0,0,0,0,0,0,0,0,5,6,0,3,4,5,0,0,0,27,17,41,47,54,81,107,75,18,12,461
5138,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,9,13,19,33,54,49,29,12,3,226
5139,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,15,3,6,24,20,41,43,27,14,3,180
5140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,7,8,12,39,76,66,44,45,3,0,300
5141,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,3,0,0,3,3,3,3,6,4,3,7,0,0,26,21,32,54,90,101,122,72,14,6,516
5142,0,0,0,0,0,0,0,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,0,5,3,26,6,33,58,64,76,94,50,41,25,449
5144,0,0,0,0,0,3,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,3,0,0,20,15,31,23,43,74,100,59,20,4,354
5150,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,3,4,7,8,11,8,5,0,53
5151,0,0,0,0,0,3,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,17,10,19,32,32,72,57,38,12,8,274
5152,0,0,3,3,0,5,19,18,20,69,0,0,0,3,0,0,0,0,0,12,12,7,19,36,47,36,41,22,12,232,120,256,389,790,974,880,809,311,118,4642
5153,3,0,0,0,0,5,25,24,17,82,0,0,0,0,0,0,0,0,0,0,22,13,29,38,75,71,55,20,10,336,189,320,517,748,1142,1105,669,197,85,4971
5154,0,0,0,0,0,3,9,9,9,25,0,0,0,0,0,0,0,0,4,6,6,6,10,22,17,29,20,10,7,133,76,139,156,435,512,552,468,135,54,2522
5155,0,0,0,0,0,8,6,16,14,39,0,0,0,0,0,0,0,0,0,0,5,3,13,26,24,31,21,17,4,140,71,152,394,605,574,561,349,120,42,2868
5156,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,12,6,0,0,27,19,54,71,126,144,170,108,28,9,725
5157,0,0,0,0,4,3,23,16,4,49,0,0,0,0,0,0,0,0,0,3,10,9,5,14,24,31,35,0,6,145,89,154,155,335,512,544,411,99,23,2326
