_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
5051,125,110,235,553,519,1068,52,36,91,178,156,334,782,712,1491,243,224,469,62,46,107,187,168,357,495,439,935,22,20,42,6,9,18,29,16,49,42,53,94,0,0,0,102,104,203,200,252,451,59,86,151,27,26,55,70,129,197,3,0,3,360,495,857,14,8,26,25,29,54,0,3,3,40,39,79,261,236,492,2155,2129,4290
5052,37,41,77,192,213,405,22,17,33,53,59,115,270,295,560,97,83,184,22,18,33,112,99,214,233,202,435,10,7,18,8,3,10,8,9,22,20,37,55,0,0,0,41,63,102,94,111,210,37,34,73,10,9,17,44,63,108,0,0,0,187,220,410,0,0,3,6,14,20,0,0,0,11,13,24,138,133,274,914,970,1885
5061,68,72,145,174,200,377,53,59,108,169,159,325,395,419,813,73,73,143,41,44,82,186,245,430,297,363,656,6,11,21,13,23,37,4,9,15,28,34,55,0,0,0,51,74,127,206,272,479,87,102,188,18,25,44,57,92,148,0,0,0,368,493,857,5,7,14,21,22,47,0,0,0,28,35,61,223,221,445,1432,1673,3103
5062,91,106,201,403,345,747,122,134,261,193,189,377,719,665,1386,167,138,302,109,135,244,308,265,572,577,539,1123,13,20,36,14,21,36,14,18,33,30,58,94,0,0,0,72,121,198,296,349,645,95,103,199,30,19,48,84,142,226,0,3,3,506,619,1124,14,9,23,26,30,58,0,0,0,41,40,83,327,346,675,2332,2447,4781
5063,75,74,149,355,336,689,64,78,146,108,103,205,521,522,1039,154,144,301,54,55,115,139,143,283,349,339,693,14,25,40,20,32,48,7,7,13,33,64,97,0,0,0,74,124,204,273,274,547,130,127,262,15,22,39,98,119,217,4,3,7,523,550,1072,15,9,26,28,44,70,0,0,0,42,52,91,303,336,639,1887,2000,3883
5064,55,69,124,278,248,527,73,53,123,100,109,203,448,408,859,154,157,309,71,74,144,123,230,351,345,463,804,4,4,12,9,19,34,6,7,13,27,33,60,0,0,0,51,66,120,224,225,445,41,57,97,23,17,34,50,80,127,0,0,0,336,377,709,0,7,8,15,12,31,0,3,3,19,24,44,206,242,446,1459,1646,3108
5065,69,73,137,349,321,672,43,56,102,105,89,199,498,471,966,175,186,367,33,70,104,132,122,255,343,388,730,13,5,17,11,32,42,8,8,16,31,41,70,0,5,7,62,86,152,223,220,444,100,81,181,14,20,35,47,86,130,3,3,7,390,410,797,5,12,12,20,24,43,0,0,3,24,33,61,247,290,538,1639,1741,3381
5066,94,93,187,393,382,767,72,77,150,131,139,273,593,598,1191,164,159,324,85,78,166,223,223,444,465,465,928,17,12,22,14,23,39,18,7,22,12,37,47,0,0,0,63,73,133,276,274,549,67,74,139,28,29,59,62,70,133,0,3,3,434,450,885,13,9,25,13,29,45,0,0,0,27,41,69,228,225,457,1899,1947,3849
5067,51,70,120,223,215,438,42,41,85,61,51,116,333,306,643,83,74,158,37,47,83,210,81,286,330,197,530,11,11,26,19,23,44,4,3,6,35,57,86,4,0,4,69,96,166,199,290,495,133,148,283,16,20,32,87,96,181,3,0,3,443,555,994,14,10,23,16,38,50,0,0,0,27,46,78,358,352,712,1603,1638,3243
5068,69,67,138,316,303,624,97,88,177,88,84,174,500,478,978,157,164,318,77,134,216,169,164,335,405,455,866,23,14,35,29,36,66,18,15,33,38,35,73,0,0,3,103,109,209,273,332,609,113,120,239,27,29,53,76,96,169,0,0,0,484,586,1064,12,19,22,18,32,46,0,0,0,25,47,74,241,321,559,1826,2057,3884
