_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5354,43,82,0,7,4,17,0,0,10,30,11,54,0,4,3,12,11,32,17,47,28,103,0,0,0,0,0,0,4,10,4,10,0,0,0,3,5,19,8,15,14,25,0,0,84,205
5355,957,1886,8,48,85,381,24,112,497,1975,613,2513,43,188,66,212,154,470,261,864,872,3376,3,16,30,105,3,10,99,265,136,400,9,21,34,77,80,166,123,259,260,660,22,40,2102,5963
5356,93,187,4,9,8,53,4,14,43,180,60,250,7,27,7,20,30,100,42,143,104,402,0,0,0,0,0,0,12,28,15,28,0,0,0,4,10,18,12,23,24,51,0,3,226,644
5357,62,121,0,0,0,10,0,0,15,76,22,86,0,4,7,15,3,10,8,27,32,112,0,0,0,5,0,3,10,20,11,25,0,0,0,3,8,10,4,11,16,44,0,4,109,279
5360,137,263,3,13,22,93,0,10,86,340,114,462,5,28,12,46,31,94,52,173,165,630,0,0,0,0,0,3,10,29,17,34,0,0,5,3,8,19,13,20,29,59,0,4,331,964
5371,99,197,5,32,35,149,10,34,84,333,129,548,12,52,18,55,48,145,76,257,207,801,0,0,0,0,0,3,13,43,20,44,3,4,0,0,14,20,12,25,31,74,3,4,337,1077
5372,239,457,4,42,36,170,5,31,174,690,222,936,6,38,21,60,45,137,68,227,294,1167,0,11,13,45,0,8,29,89,48,148,5,19,10,19,31,57,42,96,93,244,6,15,624,1891
5373,433,860,10,72,31,135,10,59,184,739,236,1000,16,73,30,103,56,183,106,358,339,1357,0,16,21,63,3,24,55,154,85,252,9,21,21,36,59,111,83,168,160,423,16,27,954,2673
5374,198,381,5,34,17,87,5,14,68,305,99,440,9,33,12,28,25,87,43,146,142,587,0,0,4,17,0,3,22,49,27,72,0,4,8,20,13,29,25,47,45,119,0,6,386,1093
5381,43,84,0,6,3,16,0,3,20,81,26,109,0,4,3,11,8,19,14,34,41,144,0,0,0,0,0,0,4,10,7,15,0,3,0,3,10,14,11,23,11,30,3,7,95,274
5400,89,177,0,7,8,37,3,23,67,276,83,341,6,23,14,36,14,44,31,95,112,439,0,0,0,0,0,0,7,15,7,15,0,4,0,3,4,9,7,18,15,33,0,3,217,645
5401,77,154,0,5,11,36,0,11,49,206,64,264,3,14,5,22,20,64,32,100,91,363,0,0,3,8,3,18,17,39,22,64,0,0,11,18,13,23,19,47,45,112,0,3,215,633
5410,32,56,0,0,0,6,0,10,17,66,18,80,0,7,3,14,8,22,12,48,37,132,0,0,0,3,0,0,3,5,3,10,0,0,4,8,3,12,8,22,12,32,3,3,75,220
5411,34,73,0,3,5,21,0,0,24,103,29,126,0,0,3,4,6,19,10,23,35,157,0,0,0,3,0,3,3,12,3,15,0,0,4,13,0,4,7,10,12,25,0,0,83,252
5412,182,357,0,4,8,50,0,3,41,171,53,233,3,21,4,19,24,66,31,111,89,342,0,0,8,43,0,0,28,76,39,116,3,8,10,14,15,24,21,46,63,159,0,0,329,857
5413,122,236,0,3,9,36,3,13,42,177,54,234,8,25,5,13,14,40,22,82,80,315,0,0,0,7,3,5,9,22,15,41,0,0,0,6,16,28,14,31,30,74,0,3,227,620
5414,16,32,0,0,0,0,0,0,5,33,5,33,0,0,3,14,4,3,6,20,14,53,0,0,0,0,0,0,0,4,0,4,0,0,3,3,0,3,3,9,7,14,0,0,37,100
5415,41,77,0,0,0,7,0,10,12,50,16,67,3,11,0,0,3,17,10,29,24,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,168
5416,26,52,0,3,3,20,0,0,17,56,19,77,3,10,3,11,3,9,11,25,28,99,0,4,0,0,0,3,0,8,3,16,0,0,0,0,0,0,0,0,9,21,0,0,63,176
5417,204,406,0,11,16,68,0,3,84,346,97,424,4,17,4,23,21,55,28,91,126,514,0,3,0,7,0,3,17,42,18,59,3,9,9,15,18,32,24,51,43,108,4,15,382,1041
5418,13,28,0,0,0,0,0,3,4,20,5,25,0,0,0,3,0,3,0,8,5,30,0,0,0,0,0,3,0,4,4,5,0,0,0,0,0,0,3,0,3,10,0,0,30,76
5419,33,70,0,0,3,6,0,8,13,57,14,66,0,4,3,9,5,13,6,22,26,87,0,3,0,0,0,0,0,8,6,6,0,0,0,0,0,3,0,3,3,12,0,0,66,167
5420,16,33,0,0,4,13,0,0,3,11,7,30,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62
5421,13,32,0,9,0,7,0,0,3,10,7,23,0,0,0,3,3,7,3,10,9,36,0,0,0,0,0,0,3,5,3,5,0,0,0,5,0,6,4,8,6,16,0,0,31,79
5422,207,406,8,24,12,59,5,14,47,192,71,293,4,12,10,27,22,75,36,112,104,403,0,9,5,16,4,15,47,133,60,175,6,21,5,12,20,49,35,82,93,259,6,15,417,1078
5431,132,257,0,0,9,49,3,15,37,166,52,237,4,12,12,30,14,37,26,78,78,308,0,0,0,3,0,3,8,25,8,33,0,3,0,0,7,20,8,25,20,54,3,3,235,628
5432,30,61,0,0,0,9,0,0,9,24,12,34,0,0,0,0,4,8,4,8,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,100
5433,180,347,3,9,15,70,8,29,49,172,71,279,3,13,9,33,22,57,31,101,106,381,0,0,3,6,0,6,24,66,32,81,0,3,3,11,20,34,22,48,51,129,0,3,345,862
5434,60,121,0,0,0,3,0,0,24,102,26,104,0,0,0,3,4,13,5,18,27,118,0,0,0,7,0,3,3,8,6,8,0,0,0,5,0,3,3,7,10,15,0,0,102,258
5440,17,36,0,0,0,3,0,3,14,53,17,61,0,0,0,3,3,5,3,9,19,70,0,3,0,0,0,0,0,3,3,3,0,0,0,0,3,4,3,4,4,10,0,0,42,116
5451,111,218,0,7,3,25,0,0,36,146,45,179,0,4,5,25,10,30,22,58,64,234,0,0,3,12,0,6,0,3,3,17,0,0,0,3,12,18,9,24,12,40,0,0,187,488
5452,69,135,0,8,4,16,0,0,30,143,35,166,0,3,7,16,11,27,17,52,53,215,0,5,0,0,0,4,0,3,3,13,0,0,0,0,7,6,7,6,9,19,0,3,131,372
5453,691,1355,3,18,39,163,10,39,312,1258,365,1477,17,54,37,111,70,215,124,386,486,1864,9,23,18,55,6,31,68,186,106,301,7,19,14,24,40,83,59,133,162,436,11,23,1348,3676
5454,60,120,0,0,6,17,0,0,22,98,31,118,0,0,0,4,10,33,13,34,41,153,0,6,0,10,0,0,6,18,9,30,0,0,3,3,0,3,3,5,13,36,0,0,118,316
5455,3,9,0,0,3,22,0,0,3,16,7,30,0,0,0,0,0,3,0,3,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44
5460,92,176,3,17,8,33,3,8,38,157,49,217,11,31,16,53,14,40,33,114,84,333,0,6,3,16,0,3,10,30,19,58,0,3,0,3,7,12,6,17,24,76,0,0,204,591
5461,297,586,13,67,31,147,12,42,134,540,187,794,13,56,14,42,40,135,74,234,259,1029,0,10,4,16,4,16,41,97,49,141,0,3,12,23,37,93,54,119,101,256,10,17,671,1891
5462,54,96,3,17,3,17,0,9,44,177,49,220,3,11,7,20,7,16,15,52,70,272,0,0,3,8,0,9,3,4,7,19,3,4,0,4,6,13,10,22,20,40,0,3,136,413
5464,88,168,0,9,9,28,3,13,45,174,53,225,6,14,9,17,10,21,20,56,71,284,0,0,0,3,0,0,3,20,6,26,0,3,0,0,0,4,3,5,9,29,3,3,171,486
5470,19,33,0,0,0,3,0,0,3,28,5,27,0,3,0,4,9,18,11,30,17,54,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,5,4,5,5,7,0,0,37,96
5471,11,22,0,3,3,6,0,0,3,14,5,33,0,3,0,0,0,3,0,5,12,42,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,4,0,4,3,8,0,0,24,72
5472,23,43,0,0,3,7,0,3,7,28,9,38,0,0,0,7,3,15,9,21,14,55,0,0,0,0,0,5,3,8,3,10,0,0,0,3,0,0,0,3,5,15,0,0,40,117
5473,115,231,0,3,7,42,3,16,34,136,46,204,3,12,3,7,12,42,21,61,68,262,0,0,6,13,0,3,9,36,20,58,0,0,0,0,11,15,7,17,24,72,3,8,206,569
5480,119,236,0,3,13,46,0,0,50,202,58,253,4,13,4,7,14,48,16,67,83,318,0,0,0,0,0,0,6,6,6,6,0,4,0,0,10,18,14,26,19,34,3,5,217,589
5481,104,208,0,0,9,40,0,3,22,87,32,131,3,15,4,22,11,28,18,63,53,196,0,6,0,4,0,0,4,15,4,21,0,0,0,0,8,19,8,19,12,39,0,3,175,443
5482,61,122,0,0,9,34,0,0,32,122,39,153,5,15,3,13,8,18,16,56,54,208,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,7,5,8,6,15,0,0,125,348
5483,48,88,0,7,3,14,0,0,20,97,24,117,3,10,3,15,3,15,11,30,38,149,0,0,0,0,0,0,0,4,0,4,0,0,3,4,0,6,3,13,7,17,0,3,89,258
5485,105,194,3,10,6,25,0,3,32,123,41,159,0,0,3,15,7,26,12,41,53,197,0,3,0,3,0,0,4,13,7,24,0,0,0,3,3,6,3,10,14,29,0,7,164,427
5490,20,42,0,0,3,17,0,3,7,28,11,51,0,6,3,7,3,8,3,17,19,66,0,0,0,3,0,0,0,3,3,6,0,0,0,0,0,9,0,9,6,13,0,0,47,127
5491,249,474,3,15,19,77,3,12,108,450,129,552,4,18,13,48,29,79,51,145,183,700,0,0,3,8,0,3,17,52,23,60,4,14,3,5,27,49,31,68,56,130,7,12,486,1318
5493,7,21,0,0,3,13,0,0,0,3,4,12,0,0,0,0,4,8,4,8,9,27,0,0,0,0,0,0,0,10,3,6,0,0,0,0,3,4,4,10,5,15,0,0,21,56
5495,116,222,0,0,3,24,3,9,15,43,17,78,3,6,5,25,8,32,19,60,37,138,0,6,0,0,0,0,5,11,5,15,0,0,0,4,12,19,10,22,14,36,0,4,170,406
5501,731,1466,18,106,83,390,47,212,445,1767,594,2473,57,220,69,216,230,735,355,1172,941,3643,6,31,19,72,7,25,103,285,135,419,10,35,18,30,100,210,119,275,254,700,21,46,1957,5863
5502,197,394,5,14,22,90,6,30,93,373,122,508,10,43,12,48,39,119,68,208,184,716,0,0,5,31,0,4,13,24,21,58,3,16,4,19,18,35,31,68,48,123,3,5,434,1244
5510,20,34,0,5,0,0,0,3,4,23,7,33,0,0,0,0,3,6,3,6,8,37,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,4,0,4,0,4,0,3,34,79
5520,79,160,0,5,6,25,0,3,24,108,34,134,3,19,0,10,11,21,12,51,47,188,0,0,4,17,0,0,13,37,18,53,0,3,3,3,6,20,8,28,26,78,0,0,152,419
5521,19,36,3,9,5,17,0,0,7,24,9,51,0,0,0,3,0,0,0,3,13,52,0,0,0,3,0,0,3,3,3,6,0,0,3,3,4,7,8,15,9,24,0,0,38,109
5522,241,484,0,0,14,53,3,10,56,209,71,271,3,8,5,12,15,49,24,70,89,346,0,6,0,0,0,0,16,35,14,47,0,4,3,12,9,30,15,40,36,82,3,5,374,914
5523,255,506,0,17,25,124,3,25,100,401,127,557,7,40,16,38,38,129,66,205,193,767,0,3,3,10,4,16,30,91,42,119,0,0,0,7,19,35,19,44,58,167,7,10,513,1444
5540,1643,3256,17,113,174,819,67,291,679,2653,936,3871,82,324,105,307,323,986,506,1614,1439,5481,23,130,71,258,39,139,325,890,454,1407,31,89,81,172,267,554,372,815,829,2222,54,109,3969,11068
5550,96,201,0,3,11,48,4,12,55,223,69,294,0,3,3,10,25,68,24,80,95,378,0,0,3,5,6,15,19,52,23,75,0,0,5,14,10,20,19,35,43,108,4,7,240,698
5552,42,91,0,0,0,8,0,3,27,111,32,126,0,6,0,8,16,37,15,55,51,177,0,0,0,0,0,0,5,10,5,10,0,7,0,0,5,9,9,20,11,28,0,0,103,293
5554,643,1262,13,62,61,288,13,69,250,1013,342,1434,24,112,35,114,90,280,154,505,498,1939,5,22,23,88,10,32,100,283,136,421,8,28,19,43,67,140,93,214,234,638,20,41,1393,3879
5555,92,177,0,0,3,7,3,16,24,89,24,110,3,14,0,14,9,35,16,64,45,173,0,0,3,3,0,0,3,12,7,14,0,0,0,0,3,9,9,13,11,27,0,0,150,376
5556,638,1249,3,25,19,97,0,11,173,667,201,805,13,60,29,83,61,195,109,341,306,1146,0,0,8,37,3,9,87,248,106,292,5,22,13,23,60,128,77,170,180,466,19,40,1145,2897
5558,796,1576,4,28,40,167,17,80,187,730,250,1002,13,43,34,101,74,238,118,382,367,1383,3,10,7,38,8,27,77,204,91,280,3,13,12,32,47,101,58,142,152,420,14,28,1330,3413
5560,52,97,0,0,6,18,0,3,31,116,35,143,4,12,0,0,12,29,10,41,46,185,0,0,4,8,0,7,7,21,11,29,0,0,3,3,8,27,9,25,23,61,0,3,120,344
5570,93,183,0,10,0,0,0,0,18,57,20,66,0,0,3,7,9,24,11,33,31,102,0,0,0,3,0,0,7,17,5,21,0,0,0,0,9,18,9,18,13,36,0,5,136,328
5571,335,659,0,7,7,38,3,8,80,322,89,377,7,24,11,30,18,60,34,114,132,484,0,5,4,17,0,6,11,34,21,61,0,7,7,6,24,47,31,62,47,124,4,12,523,1280
5572,22,45,0,0,3,8,0,0,7,37,10,39,0,0,0,4,0,0,3,5,11,47,0,0,0,0,0,0,3,10,3,10,0,0,0,0,3,3,3,9,9,19,0,0,40,107
5573,285,567,0,7,12,73,9,23,108,456,128,556,9,25,16,36,24,82,48,148,174,703,5,14,5,11,0,0,32,80,33,108,3,13,6,4,23,45,28,63,63,170,7,18,541,1464
5575,376,734,0,4,19,110,0,3,103,411,126,531,5,21,17,55,33,92,50,167,179,695,0,3,6,15,4,12,20,63,33,89,3,8,9,22,14,32,29,65,59,156,5,17,617,1601
5576,160,308,0,9,8,40,0,0,58,218,63,270,0,0,13,39,19,61,34,100,102,372,0,5,5,15,0,0,15,44,20,58,0,7,5,3,14,23,14,33,39,93,5,6,295,783
5577,78,163,0,0,10,34,0,0,17,72,22,111,7,21,3,14,13,43,21,76,47,181,0,0,0,0,0,0,3,14,3,14,0,4,3,5,3,13,8,20,13,31,0,0,145,378
5580,48,95,0,6,3,5,0,3,21,95,29,112,0,7,0,3,11,34,16,38,37,156,0,0,0,4,0,0,0,7,3,9,0,0,0,0,4,8,4,8,5,13,0,0,95,262
5581,117,234,0,0,3,12,3,9,12,53,19,73,0,10,0,0,9,21,11,24,28,101,0,0,0,0,0,0,0,9,0,9,0,0,3,3,3,10,8,12,11,17,0,0,152,358
5582,117,230,0,0,4,15,0,0,17,76,20,87,5,13,5,21,10,19,15,57,37,147,0,0,0,15,0,0,7,20,10,39,0,7,0,3,9,11,13,20,23,59,0,0,178,439
5583,134,259,0,0,11,46,3,6,27,115,36,167,3,3,0,3,12,41,19,50,54,220,0,0,3,4,0,4,10,14,13,21,0,5,0,0,5,3,4,8,13,31,0,3,206,516
5600,744,1467,7,50,86,384,15,63,345,1306,456,1801,24,84,68,206,134,428,223,711,682,2514,3,16,17,61,4,18,83,216,111,299,7,33,25,54,58,134,93,218,205,516,12,22,1644,4524
5601,62,132,0,8,4,26,4,16,20,76,26,121,0,3,4,7,8,36,12,48,46,166,0,0,0,3,0,0,5,7,7,19,0,0,0,0,3,7,3,7,7,24,0,0,118,318
5602,198,392,4,6,17,63,7,16,69,286,86,371,3,14,11,30,26,70,35,108,124,487,0,0,0,0,0,0,14,36,15,43,0,4,0,0,8,14,7,24,24,62,0,3,345,936
5603,51,103,0,6,4,14,0,3,31,122,32,147,0,6,8,17,4,13,14,32,43,178,0,0,0,7,0,0,5,16,5,28,0,0,4,7,3,7,7,15,17,39,0,0,117,325
5604,43,83,0,0,0,4,0,0,9,17,7,22,0,0,0,0,5,13,5,13,12,41,0,0,0,0,0,0,4,10,4,10,0,0,0,0,3,5,3,5,6,15,0,0,63,136
5605,274,536,3,8,19,70,4,26,77,294,100,400,3,16,12,36,13,38,27,90,131,490,0,0,3,10,0,3,22,56,28,74,3,8,7,15,11,19,20,41,44,113,3,5,459,1147
5606,1559,3040,18,104,136,626,37,160,814,3141,1008,4026,49,180,90,269,183,568,319,1012,1327,5040,3,19,51,165,25,79,275,778,354,1036,20,53,70,151,184,395,272,593,623,1633,52,109,3562,9821
5607,617,1207,12,44,56,263,15,72,331,1294,416,1676,16,58,50,162,73,226,134,445,548,2124,0,8,13,26,3,19,57,139,73,195,9,19,12,29,33,57,53,105,125,300,8,19,1294,3650
5608,1271,2510,19,114,122,549,36,154,602,2343,776,3158,49,177,81,263,201,633,332,1076,1111,4228,14,62,57,217,41,150,458,1270,573,1692,22,55,70,136,255,535,340,733,912,2426,46,100,3348,9265
5609,206,398,3,19,34,139,13,57,148,560,197,773,9,28,22,61,26,89,55,176,250,953,0,3,9,34,4,12,41,125,58,177,3,7,0,8,12,25,15,38,75,218,8,12,538,1581
5630,11,22,0,0,4,15,0,4,13,34,11,55,3,19,0,4,0,3,8,26,24,79,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,34,111
5631,134,262,3,24,11,49,3,18,74,307,95,393,7,24,10,19,12,30,25,73,112,468,0,0,3,15,0,0,12,38,20,50,0,3,4,5,5,16,10,27,27,71,3,5,278,805
5632,33,57,0,9,7,20,0,4,19,91,26,121,5,13,3,5,0,7,7,29,31,147,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,4,10,0,0,70,217
5633,43,83,0,0,0,14,0,8,22,93,29,106,0,0,4,15,5,16,10,31,34,135,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,6,3,7,0,3,90,235
5640,148,288,3,10,8,55,0,0,62,242,72,308,0,11,13,27,4,17,19,56,94,359,0,0,0,7,0,5,10,28,16,41,0,0,0,0,4,12,4,12,18,57,4,4,263,707
5641,137,268,0,3,5,22,4,9,88,367,94,402,3,15,3,11,9,18,16,47,106,447,0,0,0,0,0,7,14,29,13,35,0,0,3,5,10,17,12,24,25,56,0,0,264,773
5642,21,43,0,0,8,30,0,0,22,81,29,112,0,0,0,0,0,3,0,12,29,127,0,0,0,0,0,0,3,5,3,5,0,4,0,3,3,4,7,12,7,19,0,0,66,193
5650,23,43,0,0,0,3,3,12,14,54,13,69,0,0,0,3,5,6,3,9,21,78,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,6,9,0,0,42,124
5651,6,7,0,0,0,10,0,5,5,20,5,33,0,0,0,3,3,14,3,13,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56
5652,85,171,0,3,4,19,0,8,60,245,65,271,0,8,0,4,11,29,10,38,80,306,0,5,3,9,3,7,10,26,12,43,0,0,0,3,4,13,5,14,19,58,5,9,187,539
5653,15,22,0,0,0,3,0,0,9,33,5,37,0,0,0,0,0,3,0,3,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64
5654,32,56,0,0,0,7,0,0,15,71,15,81,3,9,0,0,4,11,4,21,22,99,0,0,0,4,0,0,5,5,3,7,0,4,0,0,0,0,0,4,3,13,0,3,58,170
5655,13,27,0,0,0,6,0,7,7,43,9,49,0,0,0,4,0,0,0,4,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,79
5660,6,11,0,0,0,3,0,0,4,14,3,20,0,0,0,0,3,6,3,6,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,41
5661,22,41,0,0,0,6,0,0,15,49,10,57,0,0,0,0,3,3,3,3,15,61,0,0,0,0,0,0,0,3,3,5,0,0,0,0,3,5,3,5,3,8,0,0,39,108
5670,68,134,0,11,3,5,0,4,39,156,45,175,0,0,0,4,3,17,5,17,51,195,0,0,0,3,0,0,7,7,9,15,0,0,0,3,7,8,7,9,10,21,0,6,132,353
5671,21,40,0,0,3,11,0,0,8,32,10,45,0,3,0,0,3,7,3,10,14,57,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,9,4,9,3,11,3,3,44,110
5680,286,552,0,4,23,106,0,4,130,529,152,647,8,22,9,35,35,98,52,152,200,794,0,0,0,5,3,11,24,63,27,80,0,0,7,12,18,37,21,49,52,130,5,13,547,1492
5690,380,756,11,62,40,163,21,106,204,798,277,1125,9,40,22,59,53,167,82,262,358,1388,3,7,14,49,9,33,85,255,111,340,0,3,15,31,37,81,53,120,169,460,12,30,913,2636
5700,1122,2204,18,84,84,401,38,165,532,2048,665,2701,26,99,65,189,191,585,282,866,945,3566,5,16,33,123,36,115,297,911,368,1173,18,48,44,88,196,427,252,560,628,1736,60,131,2761,7638
5701,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,13
5710,241,475,5,26,24,103,8,34,162,606,198,773,12,39,16,50,44,140,73,229,271,996,0,0,8,27,3,8,47,133,58,167,3,5,7,19,28,61,39,81,92,254,5,10,613,1731
5713,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5715,0,3,0,0,0,0,0,0,7,19,7,19,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,25
5717,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5719,7,13,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
5720,22,50,0,0,0,0,0,0,6,18,6,18,0,0,0,4,0,6,3,11,8,21,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,5,3,5,3,7,0,0,34,83
5722,30,57,0,0,0,0,0,0,14,64,14,64,0,0,0,4,9,20,8,22,27,88,0,0,0,3,0,5,6,7,9,15,0,3,0,4,3,9,3,13,15,29,0,0,67,171
5723,165,335,0,8,11,34,0,16,83,306,92,360,4,8,5,23,20,62,27,93,119,453,0,3,3,17,0,5,30,98,32,122,3,9,0,3,27,62,30,70,61,191,9,21,359,993
5724,25,56,0,0,0,3,6,21,17,83,26,106,0,3,0,0,5,18,8,21,31,128,0,0,0,11,0,4,13,40,17,51,0,0,0,0,3,18,3,18,24,70,3,6,76,255
5725,305,585,8,27,41,170,18,69,380,1509,435,1778,7,40,15,38,41,130,68,213,502,1986,0,0,5,25,3,19,51,138,63,176,0,0,10,17,16,35,27,53,90,233,0,3,893,2807
5730,16,28,0,0,0,5,0,0,0,9,3,18,0,0,0,0,0,3,0,3,7,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,8,0,0,25,53
5731,28,49,0,0,0,0,3,6,22,76,24,84,0,0,0,0,4,18,7,22,31,103,0,0,3,4,0,0,4,18,7,26,0,0,0,4,0,0,6,6,15,28,0,0,71,187
5732,25,43,0,0,0,6,0,0,9,25,7,33,0,0,0,0,3,14,3,14,11,45,0,0,0,0,0,0,3,13,3,13,0,0,0,4,5,13,6,17,6,30,0,3,41,115
5733,12,22,0,0,0,0,0,3,12,38,12,41,0,0,0,0,3,11,3,11,17,51,0,3,0,3,0,0,8,16,8,23,0,0,0,0,0,5,0,5,13,29,0,0,40,103
5734,7,21,0,0,3,12,5,9,6,26,15,49,0,5,0,0,0,0,0,8,16,58,0,0,0,0,0,4,5,18,7,23,0,0,0,3,0,0,0,3,7,23,0,0,29,106
5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
