_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5086,1514,3021,15,64,184,834,24,126,1157,4291,1380,5315,84,359,163,570,252,789,497,1715,1879,7034,10,55,50,169,14,57,268,689,345,969,43,139,101,219,291,618,429,979,778,1951,79,160,4245,12164
5087,1183,2352,13,77,97,415,8,28,836,3011,946,3535,45,185,89,293,167,526,302,1009,1244,4541,3,8,21,79,7,22,178,467,210,575,17,57,72,168,201,434,294,656,503,1228,73,147,3010,8275
5088,331,654,7,37,31,152,3,27,198,745,242,955,16,77,21,73,72,225,110,379,356,1335,0,9,5,28,8,15,61,176,78,224,5,10,16,32,73,167,87,208,170,432,19,39,871,2457
5089,791,1576,7,53,95,438,11,61,432,1683,552,2234,60,231,102,368,208,655,368,1255,921,3491,3,8,20,67,10,30,71,172,103,279,18,58,19,44,96,213,135,322,234,597,12,27,1956,5690
5090,959,1897,10,42,70,304,19,95,403,1544,496,1985,39,169,78,260,161,525,278,956,780,2941,3,16,19,67,6,27,117,290,146,400,13,54,40,83,100,216,156,350,298,754,29,59,2062,5645
5091,921,1828,9,65,95,442,29,111,484,1832,612,2455,62,248,104,357,209,642,369,1244,985,3701,3,17,21,60,9,17,74,191,104,283,17,42,36,86,118,236,168,373,270,652,20,44,2199,6231
5092,1947,3871,27,166,189,865,56,254,1154,4375,1426,5654,117,482,151,530,428,1371,692,2391,2122,8045,6,42,60,191,21,64,275,710,360,1005,44,149,95,209,312,670,451,1025,816,2029,65,129,4947,14076
5093,1018,2038,21,104,116,532,24,95,528,2023,685,2749,55,231,78,275,208,668,346,1178,1029,3925,5,28,37,151,13,58,151,424,215,661,21,74,41,94,178,369,240,537,454,1200,50,104,2553,7272
5094,76,153,3,17,5,35,3,19,53,204,67,282,5,16,7,21,26,78,32,118,103,395,0,6,3,18,0,0,13,32,19,54,0,14,8,20,19,44,29,75,51,133,0,0,227,680
5095,1918,3805,30,189,216,1026,55,254,1533,5734,1834,7196,128,551,206,711,395,1251,724,2511,2560,9708,6,27,54,196,19,77,335,856,417,1166,44,139,95,203,246,518,377,860,794,2026,140,298,5422,15836
