_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5710,..,153,153,272,9,284,131,0,131,139,0,139,44,0,44,16,0,16,603,168,766
5713,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5715,..,3,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,9,3,7
5717,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
5719,..,12,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,12,18
5720,..,51,51,25,3,26,6,0,6,6,0,6,0,0,0,0,0,0,32,51,88
5722,..,77,77,35,4,35,22,0,22,7,0,7,3,0,3,0,0,0,65,83,150
5723,..,350,350,189,9,200,69,4,68,60,0,60,16,0,16,19,0,19,353,365,715
5724,..,59,59,17,5,23,9,0,9,11,0,11,6,0,6,19,0,19,59,63,122
5725,..,258,258,326,32,360,189,3,192,214,3,216,123,0,123,36,0,36,886,288,1177
5730,..,15,15,17,3,19,0,0,0,0,0,0,0,0,0,3,0,3,24,17,37
5731,..,29,29,29,0,29,13,0,13,14,0,14,10,0,10,3,0,3,69,29,99
5732,..,25,25,20,0,22,10,0,10,4,0,4,3,0,3,0,0,0,44,31,67
5733,..,27,27,17,0,14,6,0,7,8,0,8,4,0,4,7,0,7,37,30,66
5734,..,23,23,12,0,8,3,0,3,6,0,6,4,0,4,3,0,3,29,29,55
5950,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5960,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
