Zip Code,AREA_SQKM
5608,14.1814
5609,3.0669
5630,261.0052
5631,683.4725
5632,839.6315
5633,1180.1994
5640,1185.2382
5641,5586.1415
5642,1840.0653
5650,1115.3651
5651,393.2341
5652,844.3886
5653,482.186
5654,2855.7105
5655,2572.3108
5660,465.7152
5661,1186.1577
5670,3448.4145
5671,1024.5239
5680,6743.6481
5690,191157.7691
5700,467.8028
5701,145.4637
5710,68.0934
5713,13811.9774
5715,7906.7542
5717,27097.7526
5719,36474.6506
5720,23480.1823
5722,23.8165
5723,78520.4522
5724,57785.322
5725,288.3608
5730,5245.9302
5731,70900.5723
5732,10976.0128
5733,68876.0855
5734,65518.1629
5950,7.2952
5960,8.8253
6434,80288.4662
