Name,Zip,Price
Ascot Park,5043," $431,861 "
Bolivar,5110," $424,000 "
Taperoo,5017," $421,092 "
Seacombe Heights,5047," $420,000 "
Valley View,5093 (2)," $419,169 "
Valley View,5093," $419,169 "
Port Noarlunga South,5167," $418,821 "
Peterhead,5016," $418,522 "
Seaford Rise,5169," $416,000 "
Holden Hill,5088," $414,878 "
West Croydon,5008," $413,911 "
Hampstead Gardens,5086," $413,350 "
Albert Park,5014," $408,500 "
Gawler,5118," $408,380 "
Northfield,5085," $408,097 "
Virginia,5120," $406,464 "
Old Reynella,5161," $402,738 "
Seaford,5169," $402,556 "
Happy Valley,5159," $402,400 "
Kilburn,5084," $402,042 "
Devon Park,5008," $400,000 "
Gilles Plains,5086," $397,908 "
St Agnes,5097," $395,945 "
Hillcrest,5086," $395,667 "
Ridgehaven,5097," $394,466 "
O'Halloran Hill,5158," $394,056 "
Redwood Park,5097," $391,146 "
Angle Park,5010," $389,750 "
Trott Park,5158," $389,500 "
Surrey Downs,5126," $388,939 "
Banksia Park,5091," $387,180 "
Seaford Meadows,5169," $387,081 "
Gawler East,5118," $386,924 "
Rosewater,5013," $386,282 "
Hillbank,5112," $386,131 "
Osborne,5017," $383,392 "
Brooklyn Park,5032," $379,611 "
Modbury North,5092," $376,955 "
Modbury Heights,5092," $376,241 "
Gawler South,5118," $372,277 "
Woodville Gardens,5012," $367,399 "
Para Hills,5096," $367,194 "
Woodville North,5012," $366,000 "
Seaford Heights,5169," $362,791 "
Aldinga Beach,5173," $361,235 "
Ottoway,5013," $360,300 "
Reynella East,5161," $356,250 "
Alberton,5014," $356,000 "
Para Vista,5093," $353,566 "
Modbury,5092," $352,587 "
Waterloo Corner,5110," $348,175 "
Evanston Gardens,5116," $347,152 "
Christies Beach,5165," $346,785 "
Birkenhead,5015," $346,150 "
Noarlunga Centre,5168," $345,000 "
Evanston South,5116," $344,313 "
Parafield Gardens,5107," $339,344 "
Hackham,5163," $334,475 "
Noarlunga Downs,5168," $331,656 "
Blakeview,5114," $331,241 "
Reynella,5161," $329,478 "
Pooraka,5095," $327,103 "
Willaston,5118," $326,449 "
Craigmore,5114," $324,001 "
Salisbury East,5109," $323,220 "
Ingle Farm,5098," $320,979 "
Direk,5110," $319,450 "
Paralowie,5108," $316,147 "
Morphett Vale,5162," $315,294 "
Evanston,5116," $314,099 "
Old Noarlunga,5168," $313,880 "
Munno Para West,5115," $312,123 "
Para Hills West,5096," $311,306 "
Andrews Farm,5114," $309,217 "
Daw Park,5041," $307,000 "
Brahma Lodge,5109," $306,033 "
Salisbury Park,5109," $306,000 "
Burton,5110," $304,063 "
Huntfield Heights,5163," $302,850 "
Salisbury,5108," $300,235 "
Cavan,5094," $300,000 "
Christie Downs,5164," $295,499 "
Salisbury Plain,5109," $295,429 "
O'Sullivan Beach,5166," $293,359 "
Wingfield,5013," $291,000 "
Penfield,5121," $285,163 "
Salisbury Downs,5108," $272,424 "
Salisbury North,5108," $269,189 "
Elizabeth Vale,5112," $260,744 "
Hackham West,5163," $254,415 "
Glanville,5015," $252,250 "
