"","zipcode","suburb","lat","long"
"186","5069","EVANDALE",-34.9055213496595,138.635416153655
"187","5069","HACKNEY",-34.9139017341551,138.616398479836
"188","5069","MAYLANDS",-34.9112801592206,138.636711308386
"189","5069","ST PETERS",-34.9049950590249,138.622598626103
"190","5069","STEPNEY",-34.9122951717047,138.629258785113
"191","5070","FELIXSTOW",-34.8890234996996,138.646962946194
"192","5070","FIRLE",-34.9045699911056,138.65316753521
"193","5070","GLYNDE",-34.8960471111478,138.652531093244
"194","5067","NORWOOD",-34.9213466215431,138.632088260783
"195","5067","ROSE PARK",-34.9307105089629,138.628298650728
"196","5068","HEATHPOOL",-34.9314218061314,138.646300213415
"197","5068","KENSINGTON",-34.9237509326276,138.645602647192
"198","5068","KENSINGTON GARDENS",-34.9197266206456,138.663190427997
"199","5068","KENSINGTON PARK",-34.9202204690904,138.654295383901
"200","5068","LEABROOK",-34.9297025068528,138.655110715904
"201","5068","MARRYATVILLE",-34.9284325529481,138.645998244991
"202","5068","ST MORRIS",-34.9110508130478,138.653626562265
"203","5068","TRINITY GARDENS",-34.9112536444899,138.644507544005
"204","5074","NEWTON",-34.8820290609714,138.682404149635
"205","5075","DERNANCOURT",-34.8619912977953,138.676584560838
"206","5075","PARADISE",-34.8710735797299,138.67626794217
"207","5076","ATHELSTONE",-34.8714811044736,138.705435891788
"208","5063","PARKSIDE",-34.9462608460865,138.616662927385
"209","5062","LOWER MITCHAM",-34.9809943857913,138.605691048281
"210","5062","LYNTON",-34.9973459331106,138.607394072055
"211","5062","MITCHAM",-34.9842301211969,138.623027995735
"212","5062","NETHERBY",-34.9704980839402,138.625079626143
"213","5062","SPRINGFIELD",-34.9784427264934,138.63274047764
"214","5062","TORRENS PARK",-34.9852635691636,138.613657227562
"215","5063","EASTWOOD",-34.942277872356,138.621717299228
"216","5063","FREWVILLE",-34.9479877616852,138.631181139361
"217","5063","FULLARTON",-34.9540529661206,138.626346902166
"218","5063","HIGHGATE",-34.9616435633988,138.621674131696
"219","5070","JOSLIN",-34.8996740800335,138.626553178793
"220","5070","MARDEN",-34.8925622421821,138.634757844318
"221","5070","PAYNEHAM",-34.8989092164908,138.642227474284
"222","5070","PAYNEHAM SOUTH",-34.9048057897466,138.644475464793
"223","5070","ROYSTON PARK",-34.8973270423131,138.629952410727
"224","5072","AULDANA",-34.9180123656131,138.686890716798
"225","5072","MAGILL",-34.9091136634679,138.674976099533
"226","5072","ROSSLYN PARK",-34.9219428915827,138.675530861444
"227","5076","CASTAMBUL",-34.8715893596807,138.765622767665
"228","5081","COLLINSWOOD",-34.8873014977168,138.612241358872
"229","5081","GILBERTON",-34.9004684378475,138.612617619887
"230","5081","MEDINDIE",-34.8973362156092,138.604900278083
