POA_CODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA5014,60,50,106,255,257,515,123,136,258,42,43,83,423,435,856,184,171,361,84,72,157,39,35,76,310,285,594,15,14,37,19,31,45,19,17,32,36,64,101,0,4,5,92,131,225,99,133,227,31,59,90,17,14,26,55,79,132,0,0,0,195,287,478,5,17,18,12,31,43,0,0,0,18,42,63,327,341,666,22,38,61,1437,1610,3048
POA5015,18,31,55,142,144,282,48,39,88,20,15,42,213,199,412,78,85,162,33,39,73,15,9,26,129,130,263,7,9,14,14,14,25,10,5,19,19,33,48,0,0,0,49,64,108,31,45,73,19,27,48,9,7,15,24,43,74,0,0,0,87,126,208,7,7,19,7,18,29,0,0,0,18,32,44,144,156,301,11,16,25,665,753,1415
POA5016,55,56,110,227,210,436,103,71,177,27,36,61,356,322,675,132,95,233,69,84,149,36,34,74,239,214,455,13,11,28,9,26,39,20,18,34,18,53,75,0,0,3,56,115,176,50,92,140,22,35,50,11,14,23,25,70,96,0,0,0,104,211,312,7,3,14,18,23,40,0,0,0,23,26,51,151,214,365,10,15,29,990,1171,2162
POA5017,30,37,71,162,154,316,30,27,59,16,20,38,211,204,416,117,109,226,23,22,47,5,12,21,150,145,289,9,3,11,11,10,20,9,7,15,19,23,40,0,0,0,42,42,90,17,29,51,8,17,24,3,7,13,4,31,36,0,0,0,35,88,120,4,3,7,13,14,22,0,0,0,13,19,31,157,193,352,10,12,22,650,735,1391
POA5018,22,21,47,115,112,227,48,44,90,20,18,36,184,172,353,85,85,169,39,50,89,11,11,28,137,146,282,5,13,21,0,4,7,16,5,23,17,28,45,0,0,0,37,52,92,48,74,118,15,13,21,9,10,15,14,28,46,0,0,3,91,118,206,0,4,5,10,13,26,0,0,0,12,22,27,101,109,208,10,17,23,590,660,1251
POA5019,55,63,122,220,214,437,114,88,205,17,33,47,357,329,685,125,112,237,41,53,102,26,24,54,199,190,388,12,13,27,5,11,23,19,13,32,27,45,70,0,0,3,59,89,146,68,82,147,31,42,73,14,12,25,37,68,108,0,3,3,149,210,355,7,8,16,19,26,40,0,3,3,23,31,61,255,265,523,15,27,45,1115,1214,2331
POA5020,15,28,41,67,81,147,28,35,61,17,21,34,115,136,247,24,30,55,25,31,50,9,11,23,51,69,128,0,0,0,3,5,8,3,3,11,12,11,24,0,0,0,14,27,39,34,35,66,4,7,11,5,3,6,8,8,21,0,0,0,55,53,104,0,3,3,0,7,7,0,0,0,0,11,11,85,81,172,3,14,16,346,416,756
POA5021,20,15,30,95,90,188,70,62,133,26,21,44,183,176,366,66,65,135,50,40,92,32,26,54,144,129,276,11,7,14,3,7,12,13,8,17,8,22,25,0,0,0,33,41,72,62,57,125,14,25,38,9,7,19,11,22,33,0,0,0,99,107,208,4,0,5,4,18,22,0,0,0,10,16,25,112,133,242,18,15,30,613,638,1249
POA5022,106,82,191,417,370,788,175,142,317,59,62,120,651,576,1228,204,196,398,166,148,315,85,80,163,453,425,872,15,23,37,14,16,31,26,17,37,42,53,92,3,4,6,101,105,207,210,208,421,47,74,121,19,29,48,64,118,185,0,8,8,335,439,776,13,4,17,30,36,68,0,0,0,47,50,93,363,391,758,32,45,75,2093,2109,4201
POA5023,91,85,178,387,357,745,200,190,391,30,32,59,615,573,1189,248,220,470,149,154,306,24,27,52,425,396,826,25,30,53,46,40,83,37,19,51,61,82,145,8,0,5,164,172,339,173,219,394,65,87,153,23,30,47,54,87,143,0,4,4,317,418,742,20,10,28,38,45,79,0,4,4,56,66,118,454,512,961,41,77,116,2156,2294,4452
