POA_CODE_2016,Total,Total.Male,Total.Female,tier.1.0-14,tier.2.15-19,tier.3.20-54,tier.4.54-100
5342,1103,550,546,191,82,441,383
5343,4978,2469,2514,890,298,2042,1757
5344,991,541,454,192,70,432,301
5345,3611,1789,1824,589,210,1353,1467
5346,374,199,181,70,32,138,140
5350,464,244,219,105,40,196,122
5351,5745,2904,2838,1178,400,2514,1657
5352,5325,2603,2726,881,307,2123,2033
5353,3699,1857,1845,662,232,1526,1273
5354,349,203,153,28,25,135,170
5355,7501,3641,3864,1441,455,2954,2638
5356,780,418,360,131,56,363,221
5357,442,236,204,64,14,162,202
5360,1096,568,527,236,73,477,299
5371,1231,647,584,269,109,594,262
5372,2208,1094,1114,524,143,1031,515
5373,3420,1717,1706,618,220,1341,1235
5374,1457,742,718,256,85,548,575
5381,386,198,183,70,17,118,169
5400,902,432,468,178,56,500,176
5401,835,427,415,165,43,324,303
5410,313,149,160,53,28,132,109
5411,311,158,160,78,19,126,93
5412,1168,567,602,179,72,377,541
5413,800,416,388,150,39,296,318
5414,144,79,68,24,9,46,65
5415,220,107,115,31,5,85,104
5416,228,112,116,54,14,91,77
5417,1544,757,792,264,68,540,668
5418,102,54,48,20,7,44,40
5419,209,116,99,35,6,80,89
5420,75,41,38,10,3,32,28
5421,144,79,63,14,9,66,48
5422,1726,865,865,255,93,558,824
5431,923,464,455,152,39,321,413
5432,147,82,66,18,5,50,77
5433,1221,597,627,187,63,447,533
5434,873,446,428,94,27,309,460
5440,352,238,116,31,9,193,120
5451,686,348,339,92,24,281,298
5452,429,225,202,95,21,169,151
5453,4985,2436,2548,941,241,1978,1819
5454,392,206,183,84,18,147,144
5455,58,24,34,22,7,27,12
5460,733,352,379,144,70,291,221
5461,2529,1227,1300,466,151,994,925
5462,491,252,239,123,36,201,130
5464,613,327,285,136,34,241,206
5470,123,73,50,20,6,48,51
5471,85,45,44,14,4,34,28
5472,170,87,85,27,6,58,79
5473,741,376,360,139,41,259,300
5480,789,419,373,120,32,290,350
5481,553,286,264,66,31,161,285
5482,499,235,265,80,30,175,218
5483,370,190,177,68,19,133,153
5485,558,269,291,89,32,196,241
5490,171,86,87,26,13,68,59
5491,1852,932,921,323,85,725,708
5493,82,41,40,9,9,30,30
5495,627,325,297,54,27,189,353
5501,7225,3748,3471,1437,467,3397,1925
5502,1507,747,757,274,101,671,463
5510,116,66,50,14,8,44,36
5520,565,295,273,102,28,202,229
5521,148,74,75,26,16,54,60
5522,1403,682,722,158,48,357,844
5523,1907,922,985,363,94,716,734
5540,15430,7686,7745,2729,1055,6468,5172
5550,939,502,434,191,52,410,293
5552,372,195,172,80,18,162,118
5554,5091,2512,2576,951,349,2054,1733
5555,474,266,214,68,15,173,220
5556,4077,2047,2035,572,187,1409,1904
5558,4682,2327,2358,674,206,1503,2296
5560,431,232,203,93,23,160,152
5570,535,295,237,45,16,151,328
5571,1785,923,860,208,59,506,1006
5572,137,67,72,33,3,59,45
5573,1992,991,1000,362,88,699,838
5575,2250,1150,1106,336,104,698,1118
5576,1040,527,516,177,49,342,473
5577,508,274,234,60,31,172,237
5580,344,172,170,59,11,109,155
5581,517,271,246,32,11,122,353
5582,640,324,317,75,36,170,376
5583,779,413,365,91,25,210,446
5600,6159,3158,3001,993,371,2713,2078
5601,463,257,210,72,20,177,182
5602,1533,837,701,248,52,607,628
5603,617,351,263,104,21,255,244
5604,258,140,120,19,4,88,139
5605,1768,871,894,233,68,592,869
5606,13870,6887,6983,2660,849,6022,4342
5607,4905,2675,2237,963,275,2092,1568
5608,13401,6685,6716,2650,845,6097,3807
5609,1850,907,941,460,113,924,345
5630,136,68,62,26,10,60,28
5631,1036,502,531,230,54,427,327
5632,247,127,118,71,17,122,43
5633,324,175,150,68,14,139,107
5640,1220,629,589,200,56,495,466
5641,1071,562,505,241,37,442,354
5642,299,163,137,66,20,117,98
5650,180,92,84,45,7,77,59
5651,72,39,35,13,4,41,18
5652,810,408,397,174,34,332,269
5653,78,44,34,22,0,29,26
5654,242,132,111,49,9,94,88
5655,102,60,44,28,0,38,24
5660,43,21,22,15,3,27,7
5661,127,74,53,29,0,56,43
5670,505,274,235,98,14,181,213
5671,178,100,73,37,0,84,58
5680,2521,1391,1126,390,86,1027,1023
5690,4223,2176,2045,784,238,1849,1355
5700,11501,5644,5858,2159,612,5040,3691
5701,22,10,15,3,0,3,14
5710,2617,1538,1082,477,140,1455,545
5713,27,26,9,4,0,18,7
5715,58,33,20,21,0,25,14
5717,31,20,8,4,0,21,8
5719,79,49,26,3,0,28,37
5720,354,254,99,14,4,208,120
5722,311,169,140,37,17,121,138
5723,2871,1788,1082,299,76,1470,1025
5724,565,291,273,82,23,284,179
5725,4630,2957,1672,1007,161,2978,476
5730,162,91,74,9,3,51,96
5731,1098,856,247,96,11,740,247
5732,341,223,117,27,3,234,86
5733,456,304,156,44,15,248,150
5734,222,113,111,37,14,124,59
5950,0,0,0,0,0,0,0
5960,5,5,0,0,0,0,0
