POA_CODE_2016,people.tier.1.74-199,people.tier.2.200-449,people.tier.3.450-849,people.tier.4.850-1200,avg.rent.per.week
5342,3695,6911,0,0,168.3492063
5343,59851.5,71484,1498.5,0,187.884017
5344,5454.5,6200,0,0,176.5833333
5345,37335,27507,0,0,165.8363171
5346,3599,1634,0,0,153.9117647
5350,1144,0,0,0,95.33333333
5351,7117.5,55541.5,1498.5,0,246.7596154
5352,10416,99741.5,3496.5,0,257.1357466
5353,13941,48298,0,0,209.5589226
5354,1566,1846,0,0,131.2307692
5355,21524,131554,0,0,247.2988691
5356,1431.5,4029.5,0,0,195.0357143
5357,3321.5,1596.5,0,0,126.1025641
5360,609,9908,0,0,256.5121951
5371,1008,5478.5,0,0,240.2407407
5372,3111.5,24511,1498.5,0,269.6388889
5373,12962,40346.5,2497.5,0,212.1901141
5374,6274.5,9993,0,0,180.75
5381,1366,0,0,0,75.88888889
5400,111,5752.5,0,0,254.9347826
5401,2524.5,8184.5,0,0,187.877193
5410,809,748.5,0,0,155.75
5411,698,2819.5,0,0,234.5
5412,4717.5,15168.5,0,0,193.0679612
5413,4754.5,5862.5,0,0,160.8636364
5414,1395,0,0,0,139.5
5415,883,1947,0,0,188.6666667
5416,733.5,2232.5,0,0,164.7777778
5417,11498,10166,0,0,147.3741497
5418,484.5,748.5,0,0,137
5419,1652,0,0,0,78.66666667
5420,373.5,636,0,0,168.25
5421,521.5,0,0,0,74.5
5422,16632,4703,0,0,137.6451613
5431,4578.5,0,0,0,106.4767442
5432,333,0,0,0,37
5433,8127,11689,0,0,167.9322034
5434,4152.5,0,0,0,92.27777778
5440,851,0,0,0,37
5451,2140.5,7685,0,0,200.5204082
5452,1332.5,3318.5,0,0,202.2173913
5453,22262,78708,1498.5,3225,226.8100858
5454,2911.5,1384.5,0,0,130.1818182
5455,0,0,0,0,0
5460,2489,2881.5,0,0,157.9558824
5461,15576.5,24560.5,0,0,177.5973451
5462,1243.5,3705,0,0,176.7321429
5464,3057,2694,0,0,119.8125
5470,0,0,0,0,0
5471,0,0,0,0,0
5472,185,0,0,0,37
5473,6375,4515.5,0,0,157.8333333
5480,5501,3804.5,0,0,145.3984375
5481,1902.5,636,0,0,110.3695652
5482,3111,1846,0,0,137.6944444
5483,872.5,848,0,0,191.1666667
5485,2787.5,848,0,0,125.362069
5490,708.5,0,0,0,88.5625
5491,10942,15269,0,0,171.3137255
5493,698,0,0,0,174.5
5495,4705,1060,0,0,128.1111111
5501,9350.5,51621.5,4296,0,225.8408304
5502,3097,16832.5,0,0,219.0054945
5510,1517.5,0,0,0,101.1666667
5520,5490,2058,0,0,139.7777778
5521,1595,636,0,0,171.6153846
5522,10398,13335.5,0,0,178.4473684
5523,12450.5,11115,0,0,163.6493056
5540,166296.5,167699,0,0,179.6640667
5550,5871.5,15680.5,0,0,178.1157025
5552,1630.5,636,0,0,133.3235294
5554,22345.5,74645.5,0,0,207.2457265
5555,2635,636,0,0,99.12121212
5556,28597.5,93514,3297,3225,229.2932264
5558,19967.5,81862,0,0,218.5182403
5560,2053.5,2020.5,0,0,150.8888889
5570,1591.5,2270,0,0,143.0185185
5571,8935,19860,0,0,179.96875
5572,523.5,636,0,0,193.25
5573,13771.5,14244.5,0,0,145.1606218
5575,10055.5,17339.5,0,0,171.21875
5576,7070,12074,0,0,170.9285714
5577,2224,0,0,0,82.37037037
5580,1169.5,636,0,0,128.9642857
5581,3362,7960,0,0,202.1785714
5582,459,7335,0,0,210.6486486
5583,4535,4890.5,0,0,192.3571429
5600,44140.5,82391,0,0,198.6365777
5601,1305.5,636,0,0,114.2058824
5602,6110,10976.5,0,0,167.5147059
5603,1168.5,1484,0,0,132.625
5604,1954.5,748.5,0,0,142.2631579
5605,12378.5,20424.5,0,0,194.1005917
5606,96585,298005,15085.5,0,224.6027961
5607,13495.5,37559.5,1798.5,0,197.2145522
5608,213189,177385.5,1998,3225,169.651736
5609,9129,60018,1498.5,0,248.7517606
5630,634.5,0,0,0,105.75
5631,7481,4078.5,0,0,142.7098765
5632,1293.5,636,0,0,120.59375
5633,1825.5,0,0,0,76.0625
5640,8416,1908,0,0,134.0779221
5641,8134,0,0,0,99.19512195
5642,481,0,0,0,37
5650,407,0,0,0,37
5651,111,0,0,0,37
5652,5648.5,7159,0,0,150.6764706
5653,944,0,0,0,78.66666667
5654,1588.5,0,0,0,69.06521739
5655,222,0,0,0,37
5660,111,0,0,0,37
