POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5555,0,0,0,0,0,9,17,5,4,35,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,10,11,3,0,38,4,19,39,43,72,87,93,31,9,398
POA5556,0,0,12,3,14,39,127,79,27,303,0,0,0,0,0,3,0,0,0,6,8,10,25,13,56,50,83,79,71,393,84,159,368,339,535,713,693,370,129,3387
POA5558,3,0,3,7,8,34,97,77,57,291,0,0,0,0,0,0,3,3,0,8,8,9,23,20,49,82,88,80,25,375,75,168,361,362,599,775,880,472,171,3870
POA5560,0,0,0,0,3,7,11,6,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7,4,6,24,9,13,38,53,56,51,70,20,11,324
POA5570,0,0,0,0,3,3,12,16,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,15,14,13,0,65,5,8,40,40,63,121,133,53,17,479
POA5571,0,0,3,3,3,21,46,55,29,151,0,0,0,0,0,0,0,0,0,3,0,4,8,0,7,12,28,26,26,107,20,42,145,132,184,349,344,214,99,1526
POA5572,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,3,14,19,23,26,11,4,4,103
POA5573,0,0,3,3,3,9,52,50,37,154,0,0,0,0,0,0,0,0,0,3,5,4,6,10,13,17,23,11,15,105,35,71,153,171,299,282,297,175,87,1571
POA5575,0,0,7,4,5,15,74,43,24,173,0,0,0,0,0,0,0,0,0,3,3,5,3,15,20,22,39,24,32,169,26,62,158,202,274,438,411,172,89,1827
POA5576,0,0,0,0,3,10,24,22,15,76,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,9,3,6,3,44,12,43,77,92,133,182,177,83,26,827
POA5577,0,0,0,0,0,10,7,14,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,3,0,24,15,17,40,39,76,105,70,47,13,420
