POA_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA5710,34,1500,710,250,1729,0.8,1448,2.6
POA5713,40,0,875,0,0,0,0,0
POA5715,35,0,725,0,1374,1,1125,2.9
POA5717,31,0,774,0,0,0.5,1062,1
POA5719,54,0,745,0,2250,0.6,1041,1.2
POA5720,49,0,1198,115,2036,0.5,1429,1.6
POA5722,53,991,470,115,1300,0.7,739,1.8
POA5723,46,561,775,148,1341,0.8,878,1.9
POA5724,42,0,552,69,866,0.9,1192,2.5
POA5725,32,2000,1701,198,2760,0.8,2456,2.7
POA5730,59,0,617,25,900,0.9,774,1.9
POA5731,44,1250,1705,49,1583,0.8,1397,2.4
POA5732,44,2095,1125,90,814,0.7,1017,2
POA5733,46,400,1091,57,1208,0.8,1140,2.3
POA5734,41,0,374,75,492,0.8,491,2.1
POA5950,0,0,0,0,0,0,0,0
POA5960,0,0,0,0,0,0,0,0
