"","POA_CODE_2016","Total","Total.Male","Total.Female","tier.1.0.14","tier.2.15.19","tier.3.20.54","tier.4.54.100"
"121",5164,5240,2534,2698,986,341,2272,1642
"122",5165,5370,2684,2691,912,307,2425,1732
"123",5166,1824,943,879,292,96,794,653
"124",5167,5605,2742,2860,947,333,2492,1823
"125",5168,5445,2668,2777,1079,294,2579,1496
"126",5169,16761,8013,8747,3666,1019,7906,4170
"127",5170,1116,535,585,183,70,508,355
"128",5171,5785,2808,2979,985,380,2246,2180
"129",5172,3878,1900,1973,714,281,1604,1284
"130",5173,12539,6020,6522,2942,816,5656,3129
"131",5174,2858,1439,1424,555,195,1339,767
"132",5201,1905,949,952,345,129,868,560
"133",5202,833,422,410,163,51,364,257
"134",5203,1235,606,627,188,63,400,587
"135",5204,2827,1386,1444,344,98,839,1554
"136",5210,1660,818,843,362,122,714,463
"137",5211,14773,6904,7870,2007,679,4344,7743
"138",5212,2074,1012,1065,259,72,573,1168
"139",5213,1124,582,541,192,62,434,441
"140",5214,8018,3833,4186,1004,295,2359,4376
"141",5220,151,75,74,29,3,70,44
"142",5221,342,160,182,51,7,117,152
"143",5222,668,335,330,89,24,235,324
"144",5223,3772,1933,1838,631,197,1529,1407
"145",5231,1177,593,583,193,101,515,368
"146",5232,424,216,208,57,34,182,136
"147",5233,1445,716,728,237,107,586,513
"148",5234,1302,656,641,264,113,549,374
"149",5235,2438,1207,1233,423,131,948,934
"150",5236,296,150,147,40,24,144,91
"151",5237,340,182,157,65,10,148,102
"152",5238,4116,2074,2042,563,211,1386,1954
"153",5240,472,251,218,82,35,195,158
"154",5241,2488,1170,1314,504,147,1076,768
"155",5242,1559,742,809,277,112,660,512
"156",5243,815,392,420,120,59,352,280
"157",5244,4117,2076,2046,744,298,1770,1305
"158",5245,3112,1524,1592,490,195,1081,1331
"159",5250,3448,1675,1767,796,254,1516,876
"160",5251,14401,6801,7606,2949,991,6505,3958
"161",5252,6391,3150,3238,1448,478,3133,1344
"162",5253,18469,9223,9249,3189,1156,8328,5806
"163",5254,2356,1226,1126,417,180,1037,722
"164",5255,9063,4351,4710,1706,590,3560,3212
"165",5256,1326,659,666,177,57,474,615
"166",5259,1064,578,491,179,63,452,374
"167",5260,1764,879,885,285,108,663,711
"168",5261,350,188,162,71,25,151,104
"169",5262,397,222,174,92,18,174,109
"170",5263,129,71,55,15,9,53,48
"171",5264,1225,604,620,204,44,432,542
"172",5265,445,239,204,91,21,195,138
"173",5266,595,332,266,136,32,267,172
"174",5267,1922,988,935,410,109,779,628
"175",5268,3486,1831,1653,620,217,1571,1081
"176",5269,244,134,106,49,17,101,85
"177",5270,582,313,274,118,43,257,166
"178",5271,7372,3816,3552,1436,392,3298,2246
"179",5272,742,399,345,139,47,305,258
"180",5273,105,59,44,26,3,50,19
"181",5275,2329,1199,1131,372,106,845,1004
"182",5276,1227,630,601,168,33,489,530
"183",5277,2880,1500,1382,564,148,1239,933
"184",5278,501,277,224,96,28,219,162
"185",5279,513,250,266,96,36,174,202
"186",5280,7092,3524,3569,1270,419,2783,2634
"187",5290,25131,12231,12902,4985,1607,10829,7714
"188",5291,8993,4893,4107,1800,592,4022,2578
"189",5301,557,304,255,110,31,204,213
"190",5302,819,409,415,141,43,316,307
"191",5303,221,121,100,43,10,115,51
"192",5304,816,422,392,134,37,385,264
"193",5306,79,43,29,11,8,21,26
"194",5307,564,277,289,100,31,190,249
"195",5308,141,78,63,28,7,68,42
"196",5309,143,78,62,26,11,60,49
"197",5310,56,32,27,7,0,30,20
"198",5311,397,216,181,71,35,175,121
"199",5320,628,332,294,68,22,211,328
"200",5321,547,396,147,27,20,303,189
"201",5322,1007,535,472,148,67,406,384
"202",5330,3394,1689,1698,596,193,1275,1333
"203",5331,329,175,156,61,14,126,135
"204",5332,389,197,190,84,11,141,159
"205",5333,5782,2840,2941,1045,374,2297,2064
"206",5340,1660,891,774,250,66,845,492
"207",5341,7720,3871,3848,1310,465,3278,2664
"208",5342,1103,550,546,191,82,441,383
"209",5343,4978,2469,2514,890,298,2042,1757
"210",5344,991,541,454,192,70,432,301
"211",5345,3611,1789,1824,589,210,1353,1467
"212",5346,374,199,181,70,32,138,140
"213",5350,464,244,219,105,40,196,122
"214",5351,5745,2904,2838,1178,400,2514,1657
"215",5352,5325,2603,2726,881,307,2123,2033
"216",5353,3699,1857,1845,662,232,1526,1273
"217",5354,349,203,153,28,25,135,170
"218",5355,7501,3641,3864,1441,455,2954,2638
"219",5356,780,418,360,131,56,363,221
"220",5357,442,236,204,64,14,162,202
"221",5360,1096,568,527,236,73,477,299
"222",5371,1231,647,584,269,109,594,262
"223",5372,2208,1094,1114,524,143,1031,515
"224",5373,3420,1717,1706,618,220,1341,1235
"225",5374,1457,742,718,256,85,548,575
"226",5381,386,198,183,70,17,118,169
"227",5400,902,432,468,178,56,500,176
"228",5401,835,427,415,165,43,324,303
"229",5410,313,149,160,53,28,132,109
"230",5411,311,158,160,78,19,126,93
"231",5412,1168,567,602,179,72,377,541
"232",5413,800,416,388,150,39,296,318
"233",5414,144,79,68,24,9,46,65
"234",5415,220,107,115,31,5,85,104
"235",5416,228,112,116,54,14,91,77
"236",5417,1544,757,792,264,68,540,668
"237",5418,102,54,48,20,7,44,40
"238",5419,209,116,99,35,6,80,89
"239",5420,75,41,38,10,3,32,28
"240",5421,144,79,63,14,9,66,48
"241",5422,1726,865,865,255,93,558,824
"242",5431,923,464,455,152,39,321,413
"243",5432,147,82,66,18,5,50,77
"244",5433,1221,597,627,187,63,447,533
"245",5434,873,446,428,94,27,309,460
"246",5440,352,238,116,31,9,193,120
"247",5451,686,348,339,92,24,281,298
"248",5452,429,225,202,95,21,169,151
"249",5453,4985,2436,2548,941,241,1978,1819
"250",5454,392,206,183,84,18,147,144
"251",5455,58,24,34,22,7,27,12
"252",5460,733,352,379,144,70,291,221
"253",5461,2529,1227,1300,466,151,994,925
"254",5462,491,252,239,123,36,201,130
"255",5464,613,327,285,136,34,241,206
"256",5470,123,73,50,20,6,48,51
"257",5471,85,45,44,14,4,34,28
"258",5472,170,87,85,27,6,58,79
"259",5473,741,376,360,139,41,259,300
"260",5480,789,419,373,120,32,290,350
"261",5481,553,286,264,66,31,161,285
"262",5482,499,235,265,80,30,175,218
"263",5483,370,190,177,68,19,133,153
"264",5485,558,269,291,89,32,196,241
"265",5490,171,86,87,26,13,68,59
"266",5491,1852,932,921,323,85,725,708
"267",5493,82,41,40,9,9,30,30
"268",5495,627,325,297,54,27,189,353
"269",5501,7225,3748,3471,1437,467,3397,1925
"270",5502,1507,747,757,274,101,671,463
"271",5510,116,66,50,14,8,44,36
"272",5520,565,295,273,102,28,202,229
"273",5521,148,74,75,26,16,54,60
"274",5522,1403,682,722,158,48,357,844
"275",5523,1907,922,985,363,94,716,734
"276",5540,15430,7686,7745,2729,1055,6468,5172
"277",5550,939,502,434,191,52,410,293
"278",5552,372,195,172,80,18,162,118
"279",5554,5091,2512,2576,951,349,2054,1733
"280",5555,474,266,214,68,15,173,220
"281",5556,4077,2047,2035,572,187,1409,1904
"282",5558,4682,2327,2358,674,206,1503,2296
"283",5560,431,232,203,93,23,160,152
"284",5570,535,295,237,45,16,151,328
"285",5571,1785,923,860,208,59,506,1006
"286",5572,137,67,72,33,3,59,45
"287",5573,1992,991,1000,362,88,699,838
"288",5575,2250,1150,1106,336,104,698,1118
"289",5576,1040,527,516,177,49,342,473
"290",5577,508,274,234,60,31,172,237
"291",5580,344,172,170,59,11,109,155
"292",5581,517,271,246,32,11,122,353
"293",5582,640,324,317,75,36,170,376
"294",5583,779,413,365,91,25,210,446
"295",5600,6159,3158,3001,993,371,2713,2078
"296",5601,463,257,210,72,20,177,182
"297",5602,1533,837,701,248,52,607,628
"298",5603,617,351,263,104,21,255,244
"299",5604,258,140,120,19,4,88,139
"300",5605,1768,871,894,233,68,592,869
"301",5606,13870,6887,6983,2660,849,6022,4342
"302",5607,4905,2675,2237,963,275,2092,1568
"303",5608,13401,6685,6716,2650,845,6097,3807
"304",5609,1850,907,941,460,113,924,345
"305",5630,136,68,62,26,10,60,28
"306",5631,1036,502,531,230,54,427,327
"307",5632,247,127,118,71,17,122,43
"308",5633,324,175,150,68,14,139,107
"309",5640,1220,629,589,200,56,495,466
"310",5641,1071,562,505,241,37,442,354
"311",5642,299,163,137,66,20,117,98
"312",5650,180,92,84,45,7,77,59
"313",5651,72,39,35,13,4,41,18
"314",5652,810,408,397,174,34,332,269
"315",5653,78,44,34,22,0,29,26
"316",5654,242,132,111,49,9,94,88
"317",5655,102,60,44,28,0,38,24
"318",5660,43,21,22,15,3,27,7
"319",5661,127,74,53,29,0,56,43
"320",5670,505,274,235,98,14,181,213
"321",5671,178,100,73,37,0,84,58
"322",5680,2521,1391,1126,390,86,1027,1023
"323",5690,4223,2176,2045,784,238,1849,1355
"324",5700,11501,5644,5858,2159,612,5040,3691
"325",5701,22,10,15,3,0,3,14
"326",5710,2617,1538,1082,477,140,1455,545
"327",5713,27,26,9,4,0,18,7
"328",5715,58,33,20,21,0,25,14
"329",5717,31,20,8,4,0,21,8
"330",5719,79,49,26,3,0,28,37
