POA_CODE_2016,total.people,total.people.male,total.people.female,total.age.0-14,total.age.15-19,total.age.20-54,total.age.54-100,age.predominant.class,age.predominant.class.value,total.family.weekly.income.1-500,total.family.weekly.income.500-1249,total.family.weekly.income.1250-2499,total.family.weekly.income.2500-6000,average.family.weekly.income,averaga.family.weekly.income.class,family.comp.couples.no.children,family.comp.couples.children.under.15y,family.comp.one.parent.children.under.15y,family.com.predominant.class,family.com.predominant.class.value
5086,16246,7826,8422,2914,908,8273,4144,adults,8273,92625,1114700,2782625,2709750,1744.713542,high,3021,5315,969,family.comp.couples.children.under.15y,5315
5087,11385,5499,5885,1857,548,5947,3039,adults,5947,66225,806575,1915625,1885000,1737.978803,high,2352,3535,575,family.comp.couples.children.under.15y,3535
5088,3250,1592,1657,568,151,1624,918,adults,1624,15775,281000,624250,334500,1555.793061,medium,654,955,224,family.comp.couples.children.under.15y,955
5089,6466,3267,3199,1181,439,2905,1939,adults,2905,20450,406975,1281250,2043250,2123.330504,very high,1576,2234,279,family.comp.couples.children.under.15y,2234
5090,7699,3559,4143,1116,401,2998,3200,seniors,3200,36575,614375,1377625,1054750,1651.486342,medium,1897,1985,400,family.comp.couples.children.under.15y,1985
5091,7350,3593,3752,1276,500,3245,2340,adults,3245,25525,549075,1509000,1741500,1927.97379,high,1828,2455,283,family.comp.couples.children.under.15y,2455
5092,17528,8613,8914,3088,1026,8161,5260,adults,8161,82425,1320425,3533000,2747750,1719.695613,high,3871,5654,1005,family.comp.couples.children.under.15y,5654
5093,8934,4453,4480,1582,560,4058,2732,adults,4058,58550,755850,1733500,1071000,1567.980936,medium,2038,2749,661,family.comp.couples.children.under.15y,2749
5094,969,521,449,157,92,435,279,adults,435,9175,84575,133125,44250,1272.887324,low,153,282,54,family.comp.couples.children.under.15y,282
5095,20723,10352,10373,3898,1265,11520,4035,adults,11520,101050,1219775,3642500,3946250,1865.488903,high,3805,7196,1166,family.comp.couples.children.under.15y,7196
5096,13239,6598,6638,2568,848,6275,3557,adults,6275,83300,1007100,2461875,1844750,1651.476438,medium,2623,4349,974,family.comp.couples.children.under.15y,4349
5097,13278,6515,6763,2286,788,5875,4340,adults,5875,56525,973450,2832375,2420000,1787.297297,high,3156,4038,793,family.comp.couples.children.under.15y,4038
5098,12221,6046,6180,2206,664,5423,3931,adults,5423,82225,1012100,2180375,1514500,1568.172888,medium,2633,3809,863,family.comp.couples.children.under.15y,3809
5106,320,216,103,0,36,173,105,adults,173,0,0,0,0,0,NA,3,0,0,family.comp.couples.no.children,3
5107,17178,8511,8668,3537,1139,8304,4188,adults,8304,114000,1429925,2976375,1478000,1470.171569,medium,2732,6104,1465,family.comp.couples.children.under.15y,6104
5108,40356,20006,20343,8445,2666,19759,9481,adults,19759,341500,3419700,6539000,2761000,1382.722846,low,6281,13012,4396,family.comp.couples.children.under.15y,13012
5109,20581,10155,10428,3828,1325,9372,6051,adults,9372,137400,1686925,3653250,2513500,1570.572917,medium,4203,6147,1808,family.comp.couples.children.under.15y,6147
5110,8923,4379,4540,2027,532,4360,2013,adults,4360,70075,683625,1527375,880000,1500.98528,medium,1612,3276,901,family.comp.couples.children.under.15y,3276
5111,303,262,45,0,36,247,11,adults,247,0,0,0,0,0,NA,0,0,0,family.comp.couples.no.children,0
5112,19701,9775,9928,3803,1316,8864,5734,adults,8864,173525,1638750,2330250,1331000,1326.27211,low,2974,5023,2237,family.comp.couples.children.under.15y,5023
5113,18833,9413,9418,4298,1221,8575,4738,adults,8575,229625,1807625,1822000,460500,1087.276617,low,2643,4414,3225,family.comp.couples.children.under.15y,4414
5114,33540,16364,17174,8191,2417,16580,6353,adults,16580,205350,2491450,6290125,3886500,1595.022302,medium,5574,12062,4097,family.comp.couples.children.under.15y,12062
5115,10272,5012,5261,2829,643,5409,1393,adults,5409,74850,769275,1939375,804500,1476.54321,medium,1583,3724,1539,family.comp.couples.children.under.15y,3724
5116,9324,4436,4893,1906,646,3997,2764,adults,3997,61650,779575,1555875,1345250,1604.781304,medium,1952,2760,1020,family.comp.couples.children.under.15y,2760
5117,2863,1450,1414,711,226,1360,559,adults,1360,7350,156025,604625,724750,2042.065663,very high,468,1413,82,family.comp.couples.children.under.15y,1413
5118,18132,8783,9346,3296,1254,7945,5631,adults,7945,90875,1213050,3318625,3529250,1831.453606,high,3934,5597,1135,family.comp.couples.children.under.15y,5597
5120,1982,1032,946,418,93,914,558,adults,914,9450,126800,347625,295250,1758.747178,high,350,705,100,family.comp.couples.children.under.15y,705
5121,1643,814,829,266,79,702,599,adults,702,9175,143675,288500,189500,1546.20098,medium,434,508,69,family.comp.couples.children.under.15y,508
5125,18846,9061,9788,3687,1419,8796,4938,adults,8796,68525,1124600,3562250,5575000,2097.964054,very high,3952,6739,1164,family.comp.couples.children.under.15y,6739
5126,7019,3482,3533,1381,423,3232,1983,adults,3232,27125,464275,1614500,1442000,1867.315789,high,1682,2460,399,family.comp.couples.children.under.15y,2460
5127,7648,3670,3977,1278,577,3513,2284,adults,3513,30100,490450,1567125,2105750,2005.463893,very high,1752,2253,495,family.comp.couples.children.under.15y,2253
5131,958,472,486,158,71,399,329,adults,399,5675,51525,196750,250500,2050.609756,very high,259,315,29,family.comp.couples.children.under.15y,315
5132,407,204,202,80,22,170,140,adults,170,2700,19000,83125,140500,2250.688073,very high,113,162,9,family.comp.couples.children.under.15y,162
5133,383,183,199,68,34,158,126,adults,158,1800,20100,75625,146250,2366.747573,very high,103,131,5,family.comp.couples.children.under.15y,131
5134,418,209,206,73,31,161,152,adults,161,2025,35350,66125,150750,2084.016393,very high,113,142,17,family.comp.couples.children.under.15y,142
5136,511,265,241,107,34,223,143,adults,223,2025,23000,95500,145000,2158.739837,very high,98,208,26,family.comp.couples.children.under.15y,208
5137,566,291,272,102,40,226,196,adults,226,3150,30300,98000,219750,2389.115646,very high,129,189,26,family.comp.couples.children.under.15y,189
5138,287,151,132,51,17,112,100,adults,112,0,17075,62625,130000,2410.344828,very high,72,110,3,family.comp.couples.children.under.15y,110
5139,221,114,110,44,14,82,80,adults,82,0,5775,34125,72250,2386.170213,very high,46,97,0,family.comp.couples.children.under.15y,97
5140,412,210,205,94,41,193,87,adults,193,675,10875,68625,171750,2494.306931,very high,79,193,20,family.comp.couples.children.under.15y,193
5141,686,334,346,140,51,280,222,adults,280,1350,38975,103625,251750,2314.035088,very high,152,230,22,family.comp.couples.children.under.15y,230
5142,549,252,297,108,21,221,205,adults,221,1350,28750,77375,217000,2421.455224,very high,130,205,15,family.comp.couples.children.under.15y,205
5144,399,198,202,52,24,156,164,seniors,164,0,26725,61625,174750,2554.368932,very high,112,120,3,family.comp.couples.children.under.15y,120
5150,58,34,27,6,0,26,31,seniors,31,0,4500,10500,34500,2605.263158,very high,18,11,0,family.comp.couples.no.children,18
5151,370,193,181,63,31,164,114,adults,164,2475,11150,51750,167500,2531.25,very high,81,131,5,family.comp.couples.children.under.15y,131
5152,6028,2945,3083,1263,368,2386,2013,adults,2386,11400,261000,901125,2933000,2634.076331,very high,1435,2375,192,family.comp.couples.children.under.15y,2375
5153,6290,3117,3174,1157,489,2682,1975,adults,2682,17375,330550,1123500,2068500,2263.379156,very high,1409,2252,187,family.comp.couples.children.under.15y,2252
5154,3296,1588,1711,681,230,1220,1160,adults,1220,9300,157175,486625,1560750,2568.271462,very high,808,1306,107,family.comp.couples.children.under.15y,1306
5155,3734,1788,1944,796,222,1688,1033,adults,1688,8025,153750,783750,1171250,2266.35439,very high,746,1462,190,family.comp.couples.children.under.15y,1462
5156,936,489,446,186,59,402,299,adults,402,2250,51875,161500,346250,2302.766393,very high,227,353,40,family.comp.couples.children.under.15y,353
5157,2844,1402,1443,468,199,1150,1028,adults,1150,7650,132825,538750,915250,2226.920391,very high,734,933,90,family.comp.couples.children.under.15y,933
5158,24287,11864,12426,4706,1619,11484,6485,adults,11484,72500,1506275,5454375,5623000,1954.315936,very high,5276,8956,1234,family.comp.couples.children.under.15y,8956
5159,32153,15719,16437,5804,2286,14205,9858,adults,14205,118600,2009925,6902875,7963250,1979.805452,very high,7467,10920,1567,family.comp.couples.children.under.15y,10920
5160,25,11,13,0,3,6,12,seniors,12,0,0,0,0,0,NA,9,3,0,family.comp.couples.no.children,9
5161,10018,4917,5106,1788,586,4612,3037,adults,4612,53125,870325,2054875,1142000,1572.043113,medium,2191,3153,732,family.comp.couples.children.under.15y,3153
5162,33866,16446,17424,6245,2208,15446,9958,adults,15446,181550,2918550,6439000,3921000,1570.057156,medium,7115,10061,2878,family.comp.couples.children.under.15y,10061
5163,13852,6718,7135,2569,844,6232,4213,adults,6232,105300,1288850,2348500,1245500,1433.788445,low,2902,3677,1458,family.comp.couples.children.under.15y,3677
5164,5240,2534,2698,986,341,2272,1642,adults,2272,55600,475350,606250,194250,1184.564057,low,864,1146,665,family.comp.couples.children.under.15y,1146
5165,5370,2684,2691,912,307,2425,1732,adults,2425,37375,487025,738125,473750,1425.513136,low,1098,1147,580,family.comp.couples.children.under.15y,1147
5166,1824,943,879,292,96,794,653,adults,794,14450,181650,262750,128250,1325.282167,low,423,373,213,family.comp.couples.no.children,423
5167,5605,2742,2860,947,333,2492,1823,adults,2492,30400,414250,1008250,843250,1667.501816,high,1261,1569,355,family.comp.couples.children.under.15y,1569
5168,5445,2668,2777,1079,294,2579,1496,adults,2579,49425,435125,956750,580000,1506.184799,medium,1093,1605,512,family.comp.couples.children.under.15y,1605
5169,16761,8013,8747,3666,1019,7906,4170,adults,7906,97625,1293475,3303500,2296250,1646.843345,medium,3504,5720,1594,family.comp.couples.children.under.15y,5720
5170,1116,535,585,183,70,508,355,adults,508,3600,91100,189250,193000,1740.693431,high,257,351,52,family.comp.couples.children.under.15y,351
5171,5785,2808,2979,985,380,2246,2180,adults,2246,34825,402725,1073750,1307250,1894.186828,high,1535,1858,220,family.comp.couples.children.under.15y,1858
5172,3878,1900,1973,714,281,1604,1284,adults,1604,15275,271000,722125,943750,1956.062124,very high,951,1341,151,family.comp.couples.children.under.15y,1341
5173,12539,6020,6522,2942,816,5656,3129,adults,5656,81600,997150,2184375,1233000,1520.502198,medium,2289,4309,1342,family.comp.couples.children.under.15y,4309
5174,2858,1439,1424,555,195,1339,767,adults,1339,17625,231600,486000,358500,1592.030568,medium,600,921,189,family.comp.couples.children.under.15y,921
