POA_CODE_2016,kids,adults,seniors
5154,681,230,1220
5155,796,222,1688
5156,186,59,402
5157,468,199,1150
5158,4706,1619,11484
5159,5804,2286,14205
5160,0,3,6
5161,1788,586,4612
5162,6245,2208,15446
5163,2569,844,6232
5164,986,341,2272
5165,912,307,2425
5166,292,96,794
5167,947,333,2492
5168,1079,294,2579
5169,3666,1019,7906
5170,183,70,508
5171,985,380,2246
5172,714,281,1604
5173,2942,816,5656
5174,555,195,1339
5201,345,129,868
5202,163,51,364
5203,188,63,400
5204,344,98,839
5210,362,122,714
5211,2007,679,4344
5212,259,72,573
5213,192,62,434
5214,1004,295,2359
5220,29,3,70
5221,51,7,117
5222,89,24,235
5223,631,197,1529
5231,193,101,515
5232,57,34,182
5233,237,107,586
5234,264,113,549
5235,423,131,948
5236,40,24,144
5237,65,10,148
5238,563,211,1386
5240,82,35,195
5241,504,147,1076
5242,277,112,660
5243,120,59,352
5244,744,298,1770
5245,490,195,1081
5250,796,254,1516
5251,2949,991,6505
5252,1448,478,3133
5253,3189,1156,8328
5254,417,180,1037
5255,1706,590,3560
5256,177,57,474
5259,179,63,452
5260,285,108,663
5261,71,25,151
5262,92,18,174
5263,15,9,53
5264,204,44,432
5265,91,21,195
5266,136,32,267
5267,410,109,779
5268,620,217,1571
5269,49,17,101
5270,118,43,257
5271,1436,392,3298
5272,139,47,305
5273,26,3,50
5275,372,106,845
5276,168,33,489
5277,564,148,1239
5278,96,28,219
5279,96,36,174
5280,1270,419,2783
5290,4985,1607,10829
5291,1800,592,4022
5301,110,31,204
5302,141,43,316
5303,43,10,115
5304,134,37,385
5306,11,8,21
5307,100,31,190
5308,28,7,68
5309,26,11,60
5310,7,0,30
5311,71,35,175
5320,68,22,211
5321,27,20,303
5322,148,67,406
5330,596,193,1275
5331,61,14,126
5332,84,11,141
5333,1045,374,2297
5340,250,66,845
5341,1310,465,3278
5342,191,82,441
5343,890,298,2042
5344,192,70,432
5345,589,210,1353
5346,70,32,138
5350,105,40,196
5351,1178,400,2514
5352,881,307,2123
5353,662,232,1526
5354,28,25,135
5355,1441,455,2954
5356,131,56,363
5357,64,14,162
5360,236,73,477
5371,269,109,594
5372,524,143,1031
5373,618,220,1341
5374,256,85,548
5381,70,17,118
5400,178,56,500
5401,165,43,324
5410,53,28,132
5411,78,19,126
5412,179,72,377
5413,150,39,296
5414,24,9,46
5415,31,5,85
5416,54,14,91
5417,264,68,540
5418,20,7,44
5419,35,6,80
5420,10,3,32
5421,14,9,66
5422,255,93,558
5431,152,39,321
5432,18,5,50
5433,187,63,447
5434,94,27,309
5440,31,9,193
5451,92,24,281
5452,95,21,169
5453,941,241,1978
5454,84,18,147
5455,22,7,27
5460,144,70,291
5461,466,151,994
5462,123,36,201
5464,136,34,241
5470,20,6,48
5471,14,4,34
5472,27,6,58
5473,139,41,259
5480,120,32,290
5481,66,31,161
5482,80,30,175
5483,68,19,133
5485,89,32,196
5490,26,13,68
5491,323,85,725
5493,9,9,30
5495,54,27,189
5501,1437,467,3397
5502,274,101,671
5510,14,8,44
5520,102,28,202
5521,26,16,54
5522,158,48,357
5523,363,94,716
5540,2729,1055,6468
5550,191,52,410
5552,80,18,162
5554,951,349,2054
