"","POA_CODE_2016","people.tier.1.500","people.tier.2.500.1249","people.tier.3.1250.2499","people.tier.4.2500.6000","avg.income.per.week","quartile"
"262","5482",0,29050,95250,74750,1895.714286,"high"
"263","5483",300,19725,48375,59250,1905.223881,"high"
"264","5485",3750,40400,74250,70000,1583.193277,"medium"
"265","5490",4050,8300,19125,18000,1413.571429,"low"
"266","5491",9375,125150,321875,318750,1815.339578,"high"
"267","5493",0,8250,0,0,916.6666667,"low"
"268","5495",6450,61375,67500,83750,1470.302013,"medium"
"269","5501",40250,480000,1349375,1044500,1711.171462,"high"
"270","5502",4875,109475,304625,216250,1689.428191,"high"
"271","5510",0,10100,29625,15000,1765.322581,"high"
"272","5520",3300,52125,68000,69000,1468.89313,"medium"
"273","5521",2700,15175,16500,15000,1334.459459,"low"
"274","5522",14475,123025,179750,180000,1458.211144,"medium"
"275","5523",13050,130050,278375,385500,1789.301552,"high"
"276","5540",126300,1203575,2118625,1795250,1522.575494,"medium"
"277","5550",4650,78075,153250,63000,1444.323671,"low"
"278","5552",2250,28075,47875,75750,1832.738095,"high"
"279","5554",42825,407450,803500,595000,1529.177006,"medium"
"280","5555",5175,44225,58750,60000,1449.568966,"low"
"281","5556",40725,423700,502625,369000,1352.277328,"low"
"282","5558",41100,488750,672125,429750,1382.817797,"low"
"283","5560",5550,46225,60375,53000,1436.086957,"low"
"284","5570",7200,55300,68875,26750,1225.775194,"low"
"285","5571",13950,181275,249000,167750,1384.558824,"low"
"286","5572",0,10125,20625,31000,1991.935484,"very high"
"287","5573",11825,155550,322250,246000,1595.715835,"medium"
"288","5575",19925,236000,299375,176250,1344.761029,"low"
"289","5576",7425,92375,136000,137500,1511.336032,"medium"
"290","5577",4950,47075,76250,26250,1236.2,"low"
"291","5580",1800,36825,48000,35750,1456.845238,"low"
"292","5581",1350,73850,41750,50000,1294.186047,"low"
"293","5582",5700,62625,96875,58000,1377.777778,"low"
"294","5583",6300,79750,71125,42250,1216.006098,"low"
"295","5600",36175,334650,964375,1622750,2044.194886,"very high"
"296","5601",3825,33000,44500,100750,1785.04902,"high"
"297","5602",9150,108950,188000,168000,1534.304207,"medium"
"298","5603",2550,35875,70500,74250,1696.064815,"high"
"299","5604",2700,16300,23625,8250,1240.853659,"low"
"300","5605",11400,132050,257250,184000,1563.368984,"medium"
"301","5606",84250,985675,2152375,1962000,1676.681759,"high"
"302","5607",28375,341950,805500,717500,1698.049327,"high"
"303","5608",146675,977750,1630375,1510750,1458.307692,"medium"
"304","5609",9750,115075,312625,542000,2070.718816,"very high"
"305","5630",0,3375,18375,36250,2761.904762,"very high"
"306","5631",7700,70525,207000,157750,1779.016064,"high"
"307","5632",0,8000,71375,73250,2422.619048,"very high"
"308","5633",1350,26000,49625,31250,1524.295775,"medium"
"309","5640",9975,59600,180125,133000,1628.510638,"medium"
"310","5641",6575,63600,189875,160750,1783.050847,"high"
"311","5642",0,21800,40250,73000,2046.212121,"very high"
"312","5650",0,13800,32125,50750,2148.333333,"very high"
"313","5651",0,0,0,43250,4325,"very high"
"314","5652",2250,50150,135375,107000,1744.230769,"high"
"315","5653",0,6075,6750,15000,2318.75,"very high"
"316","5654",2250,15650,43125,44500,1758.75,"high"
"317","5655",0,9675,22125,13750,1687.037037,"high"
"318","5660",0,0,0,0,0,NA
"319","5661",1350,14100,29125,36500,1801.666667,"high"
"320","5670",2550,38050,77750,48000,1526.146789,"medium"
"321","5671",1350,11675,19000,34500,1847.916667,"high"
"322","5680",10725,143000,321375,260500,1649.327354,"medium"
"323","5690",19650,201575,497125,484000,1750.14556,"high"
"324","5700",85750,751375,1390125,1515750,1616.148532,"medium"
"325","5701",0,0,0,0,0,NA
"326","5710",9500,127800,374500,417750,1866.566265,"high"
"327","5713",0,0,0,0,0,NA
"328","5715",0,0,0,0,0,NA
"329","5717",0,0,0,0,0,NA
"330","5719",0,0,0,0,0,NA
"331","5720",0,6075,25875,28000,2305.769231,"very high"
"332","5722",1800,15825,22125,55000,1822.115385,"high"
"333","5723",7250,102850,205875,145500,1559.037162,"medium"
"334","5724",6300,27125,11625,31750,1146.268657,"low"
"335","5725",5875,29975,530125,1789000,2973.453283,"very high"
"336","5730",1350,4875,16500,0,1262.5,"low"
"337","5731",0,16500,42000,21250,1627.55102,"medium"
"338","5732",4050,14000,9000,0,872.5806452,"low"
"339","5733",2700,12350,11625,0,987.962963,"low"
"340","5734",3525,2300,6750,0,739.7058824,"low"
"341","5950",0,0,0,0,0,NA
"342","5960",0,0,0,0,0,NA
