"","POA_CODE_2016","CF_no_children_F","CF_no_children_P","CF_ChU15_a_Total_F","CF_ChU15_a_Total_P","OPF_ChU15_a_Total_F","OPF_ChU15_a_Total_P"
"221","5360",137,263,114,462,17,34
"222","5371",99,197,129,548,20,44
"223","5372",239,457,222,936,48,148
"224","5373",433,860,236,1000,85,252
"225","5374",198,381,99,440,27,72
"226","5381",43,84,26,109,7,15
"227","5400",89,177,83,341,7,15
"228","5401",77,154,64,264,22,64
"229","5410",32,56,18,80,3,10
"230","5411",34,73,29,126,3,15
"231","5412",182,357,53,233,39,116
"232","5413",122,236,54,234,15,41
"233","5414",16,32,5,33,0,4
"234","5415",41,77,16,67,0,0
"235","5416",26,52,19,77,3,16
"236","5417",204,406,97,424,18,59
"237","5418",13,28,5,25,4,5
"238","5419",33,70,14,66,6,6
"239","5420",16,33,7,30,0,0
"240","5421",13,32,7,23,3,5
"241","5422",207,406,71,293,60,175
"242","5431",132,257,52,237,8,33
"243","5432",30,61,12,34,0,0
"244","5433",180,347,71,279,32,81
"245","5434",60,121,26,104,6,8
"246","5440",17,36,17,61,3,3
"247","5451",111,218,45,179,3,17
"248","5452",69,135,35,166,3,13
"249","5453",691,1355,365,1477,106,301
"250","5454",60,120,31,118,9,30
"251","5455",3,9,7,30,0,0
"252","5460",92,176,49,217,19,58
"253","5461",297,586,187,794,49,141
"254","5462",54,96,49,220,7,19
"255","5464",88,168,53,225,6,26
"256","5470",19,33,5,27,0,3
"257","5471",11,22,5,33,0,6
"258","5472",23,43,9,38,3,10
"259","5473",115,231,46,204,20,58
"260","5480",119,236,58,253,6,6
"261","5481",104,208,32,131,4,21
"262","5482",61,122,39,153,0,3
"263","5483",48,88,24,117,0,4
"264","5485",105,194,41,159,7,24
"265","5490",20,42,11,51,3,6
"266","5491",249,474,129,552,23,60
"267","5493",7,21,4,12,3,6
"268","5495",116,222,17,78,5,15
"269","5501",731,1466,594,2473,135,419
"270","5502",197,394,122,508,21,58
"271","5510",20,34,7,33,3,3
"272","5520",79,160,34,134,18,53
"273","5521",19,36,9,51,3,6
"274","5522",241,484,71,271,14,47
"275","5523",255,506,127,557,42,119
"276","5540",1643,3256,936,3871,454,1407
"277","5550",96,201,69,294,23,75
"278","5552",42,91,32,126,5,10
"279","5554",643,1262,342,1434,136,421
"280","5555",92,177,24,110,7,14
"281","5556",638,1249,201,805,106,292
"282","5558",796,1576,250,1002,91,280
"283","5560",52,97,35,143,11,29
"284","5570",93,183,20,66,5,21
"285","5571",335,659,89,377,21,61
"286","5572",22,45,10,39,3,10
"287","5573",285,567,128,556,33,108
"288","5575",376,734,126,531,33,89
"289","5576",160,308,63,270,20,58
"290","5577",78,163,22,111,3,14
"291","5580",48,95,29,112,3,9
"292","5581",117,234,19,73,0,9
"293","5582",117,230,20,87,10,39
"294","5583",134,259,36,167,13,21
"295","5600",744,1467,456,1801,111,299
"296","5601",62,132,26,121,7,19
"297","5602",198,392,86,371,15,43
"298","5603",51,103,32,147,5,28
"299","5604",43,83,7,22,4,10
"300","5605",274,536,100,400,28,74
"301","5606",1559,3040,1008,4026,354,1036
"302","5607",617,1207,416,1676,73,195
"303","5608",1271,2510,776,3158,573,1692
"304","5609",206,398,197,773,58,177
"305","5630",11,22,11,55,0,7
"306","5631",134,262,95,393,20,50
"307","5632",33,57,26,121,4,5
"308","5633",43,83,29,106,3,3
"309","5640",148,288,72,308,16,41
"310","5641",137,268,94,402,13,35
"311","5642",21,43,29,112,3,5
"312","5650",23,43,13,69,0,4
"313","5651",6,7,5,33,0,0
"314","5652",85,171,65,271,12,43
"315","5653",15,22,5,37,0,0
"316","5654",32,56,15,81,3,7
"317","5655",13,27,9,49,0,0
"318","5660",6,11,3,20,0,0
"319","5661",22,41,10,57,3,5
"320","5670",68,134,45,175,9,15
"321","5671",21,40,10,45,0,3
"322","5680",286,552,152,647,27,80
"323","5690",380,756,277,1125,111,340
"324","5700",1122,2204,665,2701,368,1173
"325","5701",3,6,0,0,0,4
"326","5710",241,475,198,773,58,167
"327","5713",0,0,0,5,0,0
"328","5715",0,3,7,19,0,4
"329","5717",0,3,0,3,0,0
"330","5719",7,13,0,6,0,0
"331","5720",22,50,6,18,0,4
"332","5722",30,57,14,64,9,15
"333","5723",165,335,92,360,32,122
"334","5724",25,56,26,106,17,51
"335","5725",305,585,435,1778,63,176
"336","5730",16,28,3,18,0,3
"337","5731",28,49,24,84,7,26
"338","5732",25,43,7,33,3,13
"339","5733",12,22,12,41,8,23
"340","5734",7,21,15,49,7,23
"341","5950",0,0,0,0,0,0
"342","5960",0,0,0,0,0,0
